seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8613249037932931,3119,0.8890670086566207,0.00962774560081836,0.0290297937356761,0.9888798416195677,2699,,,,,,,
0,expgrad_dp,0.8613249037932931,3119,0.8784866944533505,0.053147275248929926,0.22860962566844922,1.0609829599826588,2726,0.06277502084974829,-0.09108925425719235,0.6551724137931034,0.41304347826086957,19.0,10.0,1.0003705075954057
0,expgrad_dp_floor,0.8613249037932931,3119,0.8807310035267714,0.05213819351330928,0.2008212375859435,1.059755917237883,2729,0.061765939114127644,-0.1089145841104067,0.6153846153846154,0.34782608695652173,16.0,10.0,1.1115227862171175
1,baseline,0.8672347443650358,3119,0.899647322859891,0.05084573950946647,0.07744461420932008,0.9408126924190902,2672,,,,,,,
1,expgrad_dp,0.8672347443650358,3119,0.8961205514588009,0.053200263559247785,0.09205500381970971,0.9382411622172419,2679,-0.0023545240497813147,,1.0,0.5882352941176471,10.0,0.0,0.2619760479041916
1,expgrad_dp_floor,0.8672347443650358,3119,0.8977236293683873,0.058245672237350776,0.10017188693659279,0.9327778014124053,2694,-0.007399932727884306,,,0.0,0.0,0.0,0.8233532934131736
2,baseline,0.8605002748763056,3119,0.883616543764027,0.038706808767491885,0.04682101945572459,0.9553798594549231,2700,,,,,,,
2,expgrad_dp,0.8605002748763056,3119,0.884899006091696,0.04207041455289384,0.04979089641796475,0.951689709360466,2710,-0.0033636057854019574,,0.8333333333333334,0.375,5.0,1.0,0.37037037037037035
2,expgrad_dp_floor,0.8605002748763056,3119,0.8839371593459442,0.043752217445594876,0.050215164555427516,0.9498553035983988,2715,-0.005045408678102992,,0.6666666666666666,0.16666666666666666,2.0,1.0,0.5555555555555556
3,baseline,0.8628367234744365,3119,0.8919525488938762,0.07261702353141752,0.08374713521772342,0.9162566287979425,2694,,,,,,,
3,expgrad_dp,0.8628367234744365,3119,0.8890670086566207,0.05206907832593799,0.06245225362872425,0.9399529209220273,2697,0.020547945205479534,0.0,0.75,0.8125,12.0,4.0,0.111358574610245
3,expgrad_dp_floor,0.8628367234744365,3119,0.8906700865662072,0.0647586267273037,0.05433537051184112,0.9252320787338743,2692,0.00785839680411382,0.1284080914687834,0.9230769230769231,1.2,12.0,1.0,-0.07423904974016332
4,baseline,0.8654480483782298,3119,0.883616543764027,0.0369029023771017,0.031509485423359074,0.9577053474297905,2716,,,,,,,
4,expgrad_dp,0.8654480483782298,3119,0.8794485411991023,0.015009514857461492,0.053762414056531704,0.9827709314010683,2715,0.021893387519640206,0.06145427759654865,0.8571428571428571,1.0588235294117647,18.0,3.0,-0.036818851251840944
4,expgrad_dp_floor,0.8654480483782298,3119,0.8781660788714332,0.012991351386220318,0.05538579067990834,0.9850529072479749,2709,0.02391155099088138,0.14066865786684693,0.8695652173913043,1.5384615384615385,20.0,3.0,-0.25773195876288657
