seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.9276633977557301,22419,0.9001739595878496,0.05710247272618785,0.06994416873449127,0.9384520558212587,20775,,,,,,,
0,expgrad_dp,0.9276633977557301,22419,0.898880413934609,0.0320825618822308,0.009345425300073984,0.9656052659672945,20898,0.02501991084395705,-0.19996809243119132,0.8194444444444444,0.3241758241758242,59.0,13.0,0.592057761732852
0,expgrad_dp_floor,0.9276633977557301,22419,0.8970962130335876,0.028737161943701683,0.012174317617866026,0.9692337727651819,20928,0.028365310782486164,-0.2212816068968577,0.8598130841121495,0.37551020408163266,92.0,15.0,0.7364620938628159
1,baseline,0.9289250826785953,22419,0.9008876399482582,0.03036910534501369,0.024116004962779103,0.9671377522337105,20705,,,,,,,
1,expgrad_dp,0.9289250826785953,22419,0.8968731879209599,0.016633826816939368,0.05110111662531025,0.9821368965761135,20869,0.013735278528074324,-0.5132725089668865,0.9107142857142857,0.3857677902621723,102.0,10.0,0.7920792079207921
1,expgrad_dp_floor,0.9289250826785953,22419,0.8971854230786387,0.014961126847674922,0.03980562448304381,0.9839441921768448,20884,0.01540797849733877,-0.49887853398145404,0.907563025210084,0.3784722222222222,108.0,11.0,0.8645254769379377
2,baseline,0.9272428361147751,22419,0.8994156742049155,0.029262585533645358,0.06622208436724575,0.9685333461047282,20836,,,,,,,
2,expgrad_dp,0.9272428361147751,22419,0.8960702975155003,0.014673309847186067,0.0802315963606286,0.984364494242222,21033,0.014589275686459291,-0.5829907336074149,0.8910891089108911,0.3159722222222222,90.0,11.0,0.9454789786907276
2,expgrad_dp_floor,0.9272428361147751,22419,0.8954458272001428,0.011954489619575237,0.0792235318444996,0.9872560410795199,21025,0.01730809591407012,-0.46776151287839884,0.9016393442622951,0.37,110.0,12.0,0.9070838932616625
3,baseline,0.9278354456997572,22419,0.89937106918239,0.03437165242042539,0.03347291149710496,0.9629670121476295,20793,,,,,,,
3,expgrad_dp,0.9278354456997572,22419,0.895802667380347,0.0002605058982526609,0.1287737799834574,0.9997215613670888,20975,0.03411114652217273,-0.2186760938115875,0.8733333333333333,0.42038216560509556,131.0,19.0,0.8752945702880777
3,expgrad_dp_floor,0.9278354456997572,22419,0.895802667380347,0.002433524251943764,0.11949441687344908,0.9973985771282523,20971,0.03193812816848163,-0.22928212228950143,0.8767123287671232,0.4201954397394137,128.0,18.0,0.856057326985043
4,baseline,0.9286192196669917,22419,0.9022257906240243,0.03672660473208966,0.03427419354838712,0.9604316591542253,20793,,,,,,,
4,expgrad_dp,0.9286192196669917,22419,0.8974976582363174,0.003343194041809938,0.11256720430107525,0.996429617515751,20991,0.033383410690279725,-0.24524241051200563,0.8623188405797102,0.37735849056603776,119.0,19.0,0.9522435435002164
4,expgrad_dp_floor,0.9286192196669917,22419,0.8962933226281279,0.004221981277609088,0.12978184449958652,1.0045119564657323,20980,0.04094858600969875,-0.18438388212237297,0.8513513513513513,0.40445859872611467,126.0,22.0,0.8993411244168711
