seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.3202427455357143,6145,0.6545158665581774,0.2627555293083797,0.24659135112766398,0.2375074168055345,1941,,,,,,,
0,expgrad_dp,0.3202427455357143,6145,0.6144833197721725,0.0015941352788146346,0.17385143803020897,1.005412346390169,1811,0.26434966458719433,0.18938533695383866,0.7358156028368794,1.4482758620689655,415.0,149.0,-6.697578567748583
0,expgrad_dp_floor,0.3202427455357143,6145,0.6279902359641986,0.013269143762017876,0.15797558452307053,1.041075805322129,1994,0.2760246730703976,0.07811036280301305,0.6441717791411042,0.8571428571428571,315.0,174.0,2.7305512622359607
1,baseline,0.31529017857142855,6145,0.6530512611879576,0.24231400033062742,0.19923194703082975,0.2945827001013171,1948,,,,,,,
1,expgrad_dp,0.31529017857142855,6145,0.6096013018714402,0.02232197236650918,0.2168524725843161,1.0773216169379143,1789,0.26463597269713657,0.20713187087547122,0.7594108019639935,1.5112540192926045,464.0,147.0,-8.162217659137577
1,expgrad_dp_floor,0.31529017857142855,6145,0.6265256305939788,0.02159682162651283,0.21947113594040968,1.0673500881834215,1985,0.2639108219571402,0.08654208727151343,0.6764132553606238,0.904639175257732,347.0,166.0,1.8993839835728952
2,baseline,0.32149832589285715,6145,0.658746948738812,0.2670351965927975,0.25933209186840467,0.24743376367024666,2001,,,,,,,
2,expgrad_dp,0.32149832589285715,6145,0.6232709519934907,0.02430247405009872,0.17875936271467002,0.9196814972969866,1843,0.2427327225426988,0.2152842497670084,0.7634408602150538,1.5808823529411764,426.0,132.0,-7.896051974012994
2,expgrad_dp_floor,0.32149832589285715,6145,0.6421480878763222,0.026123915672609244,0.17871135940409683,0.9221686497135599,2045,0.24091128092018826,0.0796355005490741,0.6752136752136753,0.8787878787878788,316.0,152.0,2.1989005497251375
3,baseline,0.32101004464285715,6145,0.6502847843775427,0.26348638989672246,0.24921498034347198,0.23700475560594608,1945,,,,,,,
3,expgrad_dp,0.32101004464285715,6145,0.6159479251423922,0.054927109707394756,0.08268818539209599,0.8144345238095237,1782,0.2085592801893277,0.23654228988685233,0.7803468208092486,1.6546184738955823,405.0,114.0,-8.380462724935732
3,expgrad_dp_floor,0.32101004464285715,6145,0.622620016273393,0.018868057912000857,0.10507262569832404,0.9420185957594718,1987,0.2446183319847216,0.08141642889456269,0.6709401709401709,0.883008356545961,314.0,154.0,2.159383033419023
4,baseline,0.3179408482142857,6145,0.6506102522375915,0.25408879521112304,0.21065839023380922,0.25355449479845615,1921,,,,,,,
4,expgrad_dp,0.3179408482142857,6145,0.6195280716029292,0.0029767342712710976,0.1979755845230705,1.010311181434599,1776,0.25706552948239414,0.2011486593685546,0.7543859649122807,1.505226480836237,430.0,140.0,-7.548152004164498
4,expgrad_dp_floor,0.3179408482142857,6145,0.6362896663954435,0.001285259673026895,0.21443409890337267,1.0040333865771078,1959,0.25537405488414994,0.08514217512449054,0.6652631578947369,0.8932584269662921,316.0,159.0,1.9781363872982822
