seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.7171856523452897,2175,0.8142528735632184,0.3206572769953051,0.16149584487534624,0.5550488599348534,1553,,,,,,,
0,expgrad_dp,0.7171856523452897,2175,0.7908045977011494,0.1630672926447575,0.037452651515151536,0.7798901563160118,1604,0.1575899843505476,-0.12810327706057636,0.9043478260869565,0.6772151898734177,104.0,11.0,3.2839665164198326
0,expgrad_dp_floor,0.7171856523452897,2175,0.782528735632184,0.17449139280125192,0.022537878787878718,0.7609860664523045,1580,0.14616588419405319,-0.06423982869379033,0.9290780141843972,0.8322981366459627,131.0,10.0,1.7385705086928525
1,baseline,0.7175798186834844,2175,0.8248275862068966,0.32691705790297343,0.16794507575757578,0.5360870530757272,1518,,,,,,,
1,expgrad_dp,0.7175798186834844,2175,0.7866666666666666,0.05289514866979661,0.13868882733148657,0.9286919831223628,1611,0.2740219092331768,-0.1353512278697888,0.8584905660377359,0.4972972972972973,91.0,15.0,6.126482213438735
1,expgrad_dp_floor,0.7175798186834844,2175,0.7880459770114943,0.032550860719874786,0.13730378578024005,0.9562289562289562,1616,0.29436619718309864,-0.1323763955342902,0.8461538461538461,0.47593582887700536,88.0,16.0,6.455862977602108
2,baseline,0.7156089869925109,2175,0.8179310344827586,0.27809076682316125,0.12539242843951987,0.6151180420186267,1559,,,,,,,
2,expgrad_dp,0.7156089869925109,2175,0.7857471264367816,0.1294209702660407,0.09232954545454541,0.8278159483656048,1629,0.14866979655712054,-0.19578947368421046,0.9152542372881356,0.6111111111111112,108.0,10.0,4.490057729313663
2,expgrad_dp_floor,0.7156089869925109,2175,0.7875862068965517,0.12848200312989044,0.09161931818181823,0.8288513654367313,1627,0.1496087636932708,-0.18828451882845154,0.9152542372881356,0.6179775280898876,108.0,10.0,4.361770365618987
3,baseline,0.7120614899487584,2175,0.8114942528735632,0.3726134585289515,0.3771780303030303,0.4882871265849989,1567,,,,,,,
3,expgrad_dp,0.7120614899487584,2175,0.7908045977011494,0.2500782472613459,0.16936553030303036,0.6615840745446844,1596,0.12253521126760558,-0.08812260536398489,0.9207920792079208,0.7661290322580645,93.0,8.0,1.8506700701978303
3,expgrad_dp_floor,0.7120614899487584,2175,0.7866666666666666,0.20704225352112682,0.10056818181818172,0.7203551046290424,1601,0.16557120500782468,-0.07372400756143682,0.9047619047619048,0.7404580152671756,95.0,10.0,2.169751116783663
4,baseline,0.7256602286164762,2175,0.8151724137931035,0.322378716744914,0.16140350877192983,0.5670449768810424,1605,,,,,,,
4,expgrad_dp,0.7256602286164762,2175,0.7958620689655173,0.16056338028169015,0.01126500461680513,0.7888888888888889,1647,0.16181533646322382,-0.0986460348162472,0.9210526315789473,0.7162162162162162,105.0,9.0,2.616822429906542
4,expgrad_dp_floor,0.7256602286164762,2175,0.7944827586206896,0.15821596244131453,0.013589015151515116,0.7913312693498452,1642,0.16416275430359945,-0.08293612964728253,0.925,0.7516778523489933,111.0,9.0,2.305295950155763
