seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.4176901128892197,3456,0.7615740740740741,0.1289353714132475,0.05237261673842078,0.6906646078620601,1432,,,,,,,
0,expgrad_dp,0.4176901128892197,3456,0.7546296296296297,0.002413515687851975,0.15798969072164948,1.0057215511760966,1458,0.1313488871010995,-0.0381788485095957,0.926829268292683,0.8142857142857143,114.0,9.0,1.8156424581005586
0,expgrad_dp_floor,0.4176901128892197,3456,0.7488425925925926,0.03271654599088225,0.1637886597938144,1.077558804831532,1460,0.16165191740412976,-0.03102189781021894,0.9147286821705426,0.8082191780821918,118.0,11.0,1.9553072625698324
1,baseline,0.4229003845676715,3456,0.7821180555555556,0.15352641458836153,0.12744845360824741,0.639823843976093,1463,,,,,,,
1,expgrad_dp,0.4229003845676715,3456,0.7650462962962963,0.07058192544918207,0.022614372900600838,0.8374505928853755,1496,0.08294448913917946,-0.09602327837051375,0.9517241379310345,0.8081395348837209,138.0,7.0,2.255639097744361
1,expgrad_dp_floor,0.4229003845676715,3456,0.7647569444444444,0.05897023330651652,0.04108908548989923,0.8652903700073511,1509,0.09455618128184501,-0.12166761202495752,0.9428571428571428,0.7430167597765364,132.0,8.0,3.1442241968557756
2,baseline,0.42873092668403423,3456,0.7714120370370371,0.20911772593188524,0.15940721649484535,0.5035650623885918,1442,,,,,,,
2,expgrad_dp,0.42873092668403423,3456,0.7511574074074074,0.025636899973183136,0.20412371134020624,1.0597724146554957,1484,0.23475462590506838,-0.032670779072423974,0.8896551724137931,0.7543859649122807,129.0,16.0,2.912621359223301
2,expgrad_dp_floor,0.42873092668403423,3456,0.7528935185185185,0.005846071332796965,0.10025773195876297,0.986407282703579,1486,0.20327165459908828,-0.04353562005277023,0.8955223880597015,0.7317073170731707,120.0,14.0,3.0513176144244105
3,baseline,0.42215606004217837,3456,0.7696759259259259,0.15323142933762407,0.1132731958762887,0.6402669352807856,1462,,,,,,,
3,expgrad_dp,0.42215606004217837,3456,0.7488425925925926,0.011155805846071343,0.09896907216494855,0.9743779255974377,1504,0.14207562349155273,-0.06644016610041524,0.9280575539568345,0.7543859649122807,129.0,10.0,2.8727770177838576
3,expgrad_dp_floor,0.42215606004217837,3456,0.75,0.016197371949584316,0.09381443298969072,1.0369509360088094,1516,0.16942880128720839,-0.0731244064577397,0.9111111111111111,0.6949152542372882,123.0,12.0,3.6935704514363885
4,baseline,0.4247611958814043,3456,0.7769097222222222,0.1814695628854921,0.16907216494845356,0.5718985259695072,1453,,,,,,,
4,expgrad_dp,0.4247611958814043,3456,0.7717013888888888,0.09056047197640121,0.037371134020618535,0.7863604732080723,1459,0.09090909090909088,0.0,0.9428571428571428,0.9428571428571428,99.0,6.0,0.41293874741913283
4,expgrad_dp_floor,0.4247611958814043,3456,0.7659143518518519,0.09705014749262536,0.017055400482566124,0.774503084304318,1481,0.08441941539286674,-0.07687420584498043,0.9387755102040817,0.7666666666666667,92.0,6.0,1.9270474879559532
