seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6957247936273407,26686,0.8241025256688901,0.20196401375923245,0.10518074609346342,0.7278739745584399,18595,,,,,,,
0,expgrad_dp,0.6957247936273407,26686,0.7868545304654125,0.0032695721689858237,0.13802576235541536,1.004659044647108,18747,0.20523358592821828,0.19685904517361846,0.5908910891089109,0.9100059206631143,1492.0,1033.0,0.8174240387200861
0,expgrad_dp_floor,0.6957247936273407,26686,0.7938244772539909,0.0008163005456645056,0.1390247872496515,1.0010877698925096,20031,0.20278031430489696,-0.04075377550565229,0.43178807947019865,0.41050903119868637,978.0,1287.0,7.722506050013444
1,baseline,0.6960941765971799,26686,0.8226036123810238,0.20732711576193752,0.11705365221431538,0.7219693662121833,18657,,,,,,,
1,expgrad_dp,0.6960941765971799,26686,0.7849059431911863,0.01008302587012555,0.11995558530799888,0.9856763715979241,18725,0.19724408989181197,0.2116933782869028,0.6066030230708035,0.9587878787878787,1525.0,989.0,0.36447445998820815
1,expgrad_dp_floor,0.6960941765971799,26686,0.7931874391066477,0.011191841367754751,0.12813967243782554,0.9849758932411067,19812,0.19613527439418277,0.003942410161604724,0.4671694764862467,0.4839142091152815,1053.0,1201.0,6.1907059012703005
2,baseline,0.6967847621494877,26686,0.826725623922656,0.20841885444952646,0.10585155161030005,0.7197242518834339,18595,,,,,,,
2,expgrad_dp,0.6967847621494877,26686,0.7936745859252042,0.018498748764874118,0.11459823502799987,0.9739217802532515,18819,0.18992010568465234,0.18041507456767197,0.5915841584158416,0.8693877551020408,1434.0,990.0,1.2046248991664426
2,expgrad_dp_floor,0.6967847621494877,26686,0.8025556471558121,0.022597215425361528,0.10895943376617023,0.9701225826465444,20048,0.18582163902416493,-0.06840014026953027,0.4272344408048666,0.39458333333333334,913.0,1224.0,7.813928475396612
3,baseline,0.6961423569845502,26686,0.8275874990631792,0.20537086155038353,0.11248807864426674,0.7232475501660348,18572,,,,,,,
3,expgrad_dp,0.6961423569845502,26686,0.7900397212021285,0.015897010484290597,0.11104169723424545,0.9774697985656889,18734,0.18947385106609294,0.1925729128732326,0.5958316305680424,0.9042553191489362,1458.0,989.0,0.872280852896834
3,expgrad_dp_floor,0.6961423569845502,26686,0.799932548902046,0.015945725350326123,0.12190770730931944,0.978912957822653,20084,0.1894251362000574,-0.0744976843441502,0.4247460757156048,0.38486574450772987,920.0,1246.0,8.14128796037045
4,baseline,0.6965920406000065,26686,0.8262759499362962,0.20866512172330842,0.10858551585845991,0.7196117476005781,18609,,,,,,,
4,expgrad_dp,0.6965920406000065,26686,0.7889155362362288,0.010729799972019172,0.12146501234930179,0.9848003682466612,18774,0.19793532175128925,0.19337459202821777,0.5949519230769231,0.903169014084507,1485.0,1011.0,0.8866677414154441
4,expgrad_dp_floor,0.6965920406000065,26686,0.7963351570111669,0.009404242827788178,0.13152579597975206,0.9874634330245721,19962,0.19926087889552024,-0.029831878402994078,0.4383073496659243,0.42863175675675674,984.0,1261.0,7.270675479606642
