seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5074197796550284,26686,0.7234130255564716,0.17898959272436948,0.05880878816601942,0.6738881172270271,13574,,,,,,,
0,expgrad_dp,0.5074197796550284,26686,0.6971445701866147,0.0060093439660422465,0.1584718584825653,1.0119827835930757,13419,0.18499893669041173,0.25600849334626885,0.6399511798209927,1.104871447902571,1573.0,885.0,-1.141888905260056
0,expgrad_dp_floor,0.5074197796550284,26686,0.718653975867496,0.012080819139907994,0.004610202235101335,0.9875030590589924,25725,0.1669087735844615,-2.5034192962232,0.0034119988626670457,0.0009865987009783771,12.0,3505.0,89.51672314719316
1,baseline,0.5065364725532393,26686,0.7259237053136476,0.19435473878414794,0.08236206667702262,0.6488922424548988,13607,,,,,,,
1,expgrad_dp,0.5065364725532393,26686,0.7032151690024732,0.016422973008448805,0.1329258670698169,0.9678349117377356,13527,0.17793176577569914,0.24146033707601477,0.625,1.0540906017579446,1480.0,888.0,-0.5879326817079444
1,expgrad_dp_floor,0.5065364725532393,26686,0.7198905793299858,0.01367897635376214,0.006640640891802718,0.9858512682473358,25718,0.1806757624303858,-2.2872547629224305,0.004473022085546547,0.0014017150395778364,16.0,3561.0,89.00565885206144
2,baseline,0.5055246844184628,26686,0.7244247920257814,0.20706519071426605,0.10440347377979697,0.6262893217392418,13545,,,,,,,
2,expgrad_dp,0.5055246844184628,26686,0.7064378325713857,0.023283706414062744,0.12538168390288462,0.9542202154010085,13433,0.1837814843002033,0.24744882671430266,0.6275320380322448,1.0757780784844384,1518.0,901.0,-0.8268733850129198
2,expgrad_dp_floor,0.5055246844184628,26686,0.7196657423368058,0.017056008260338484,0.012768060326369124,0.9823802834287108,25730,0.19000918245392756,-2.1784636026755013,0.001103448275862069,0.00041017227235438887,4.0,3621.0,89.9593946105574
3,baseline,0.505315902739858,26686,0.7276849284268905,0.18904922062341994,0.06652601930403235,0.6567386387206208,13564,,,,,,,
3,expgrad_dp,0.505315902739858,26686,0.7070373978865323,0.007314728221358757,0.15344086758638675,0.9855672397867498,13481,0.1817344924020612,0.24172638162197585,0.6299541093032958,1.055779569892473,1510.0,887.0,-0.6119138897080507
3,expgrad_dp_floor,0.505315902739858,26686,0.7179419920557596,0.014848100887794202,0.013156820849534179,0.9846711119308368,25760,0.17420111973562574,-2.398899461672081,0.001968503937007874,0.0005736294353847415,7.0,3549.0,89.91447950457092
4,baseline,0.5068576751357081,26686,0.7280221839166604,0.19576087460616104,0.07900080193151038,0.6474600507092529,13645,,,,,,,
4,expgrad_dp,0.5068576751357081,26686,0.704114516975193,0.017314724351260136,0.12802168640812217,0.9661364578188776,13541,0.1784461502549009,0.24645165534595356,0.6307300509337861,1.0719225449515906,1486.0,870.0,-0.7621839501648956
4,expgrad_dp_floor,0.5068576751357081,26686,0.7179045192235629,0.011949719550080395,0.005579224519803971,0.9876497878762168,25749,0.18381115505608064,-2.242981068881416,0.0027909572983533353,0.0008254911672445105,10.0,3573.0,88.70648589226823
