seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.9417231129625742,116357,0.9215603702398653,0.09283457178317589,0.10192388184274592,0.9021589565950707,109663,,,,,,,
0,expgrad_dp,0.9417231129625742,116357,0.9159913026289781,0.01256144441143947,0.14737224686514738,0.9867822087460184,110479,0.08027312737173642,-0.018849701754386168,0.3069620253164557,0.26618705035971224,291.0,657.0,0.7440978269790175
0,expgrad_dp_floor,0.9417231129625742,116357,0.915956925668417,0.011043219474091925,0.15439065104379512,0.9883780698460067,110475,0.08179135230908396,-0.016807754568192983,0.30457380457380456,0.26912691269126915,293.0,669.0,0.7404502886114733
1,baseline,0.9419514764435702,116357,0.9213884854370601,0.0883533121102158,0.08547479115430434,0.9067249748401054,109513,,,,,,,
1,expgrad_dp,0.9419514764435702,116357,0.9162663183134663,0.009862244246892637,0.15936839811079162,0.9896080172788309,110347,0.07849106786332316,-0.02280406710532689,0.3105656350053362,0.2625994694960212,291.0,646.0,0.7615534228813018
1,expgrad_dp_floor,0.9419514764435702,116357,0.9161288104712222,0.008412334021129064,0.16440620456847643,0.9911363247051497,110365,0.07994097808908673,-0.023082952405742343,0.29850746268656714,0.2513181019332162,280.0,658.0,0.7779898276916896
2,baseline,0.9413032188200975,116357,0.9210447158314498,0.09660323912213753,0.12071157375417013,0.8981741770344769,109619,,,,,,,
2,expgrad_dp,0.9413032188200975,116357,0.9155701848621054,0.013812104648874723,0.14346269011583412,0.9854642247000331,110454,0.0827911344732628,-0.018164965976790366,0.30390143737166325,0.26561125769569044,296.0,678.0,0.7617292622629289
2,expgrad_dp_floor,0.9413032188200975,116357,0.9157592581451911,0.013915360818731237,0.14159552415130505,0.9853532830709197,110436,0.08268787830340629,-0.016402358668706176,0.30515463917525776,0.26857654431512984,296.0,674.0,0.7453087512201352
3,baseline,0.9418593943947815,116357,0.9216205299208471,0.08940884830078688,0.09317118536185476,0.90572817457166,109642,,,,,,,
3,expgrad_dp,0.9418593943947815,116357,0.9161803759120637,0.008492037025562227,0.16533892071417422,0.9910637258073967,110505,0.08091681127522465,-0.023146647400822125,0.2792207792207792,0.23425022182786157,258.0,666.0,0.7871071304791959
3,expgrad_dp_floor,0.9418593943947815,116357,0.9158967659874352,0.006890774767552066,0.17036657280064982,0.992747063568303,110492,0.08251807353323481,-0.020014040240789538,0.30635245901639346,0.26406926406926406,299.0,677.0,0.7752503602634027
4,baseline,0.9415647318386575,116357,0.9217580377630912,0.09159647223093248,0.10017856833272654,0.9033632787958025,109558,,,,,,,
4,expgrad_dp,0.9415647318386575,116357,0.9164296088761312,0.008899367558563687,0.16196432596026922,0.990624254429179,110374,0.08269710467236879,-0.016288960464348405,0.31275303643724695,0.2804232804232804,309.0,679.0,0.7448109677066029
4,expgrad_dp_floor,0.9415647318386575,116357,0.9164897685571131,0.01058739726608282,0.1537143946880255,0.9888509589246113,110411,0.08100907496484966,-0.021981354688152408,0.2946145723336853,0.2517543859649123,279.0,668.0,0.7785830336442797
