seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.893303495609259,42899,0.8750786731625446,0.1389367323872729,0.1288841861063545,0.8463731466387363,38419,,,,,,,
0,expgrad_dp,0.893303495609259,42899,0.8692510314925755,0.01358124598304944,0.1376205782301816,0.9849155250213423,38587,0.12535548640422345,0.032164184497335935,0.5980861244019139,0.7507418397626113,500.0,336.0,0.4372836357010854
0,expgrad_dp_floor,0.893303495609259,42899,0.8689479941257372,0.0148164720229913,0.13396052143134884,0.9835258183138209,38542,0.12412026036428159,0.040304566641866726,0.6196531791907515,0.8147590361445783,536.0,329.0,0.32015409042400894
1,baseline,0.8935432630348562,42899,0.8751252942959044,0.14465838900332784,0.14846811008828276,0.8398878980809149,38365,,,,,,,
1,expgrad_dp,0.8935432630348562,42899,0.8686915778922586,0.01275207966409142,0.13266850277788278,0.9858407724306768,38601,0.13190630933923642,0.021698671629244264,0.5895348837209302,0.6832214765100671,507.0,353.0,0.6151440114687866
1,expgrad_dp_floor,0.8935432630348562,42899,0.8680155714585421,0.00923278256273774,0.14217743628166746,0.9897376349842802,38570,0.1354256064405901,0.02811845914411397,0.6008869179600886,0.7263017356475301,542.0,360.0,0.5343411964029715
2,baseline,0.8935732339630559,42899,0.8762442014965384,0.1507341686394561,0.15406747296886236,0.8331308711697607,38341,,,,,,,
2,expgrad_dp,0.8935732339630559,42899,0.8715121564605236,0.029755557117194686,0.09963256000615761,0.9670047875086448,38606,0.12097861152226141,0.012343648069886708,0.576530612244898,0.6339779005524862,452.0,332.0,0.6911661146031663
2,expgrad_dp_floor,0.8935732339630559,42899,0.871791883260682,0.030192187753918853,0.09790343062336992,0.9665095270342691,38592,0.12054198088553725,0.014866031505147011,0.5782051282051283,0.6454802259887006,451.0,329.0,0.6546516783599802
3,baseline,0.8936931176758545,42899,0.8761043380964592,0.13857124478253935,0.11809161261480544,0.8465280874326686,38357,,,,,,,
3,expgrad_dp,0.8936931176758545,42899,0.8708827711601669,0.009125386322676565,0.15352768808187345,0.9898682188278207,38613,0.12944585845986278,0.017304347420400882,0.5795180722891566,0.654054054054054,481.0,349.0,0.6674140313371745
3,expgrad_dp_floor,0.8936931176758545,42899,0.8706962866267279,0.01030299336937801,0.1506354862906567,0.9885616874198492,38613,0.12826825141316134,0.016881108246468043,0.5821256038647343,0.6545209176788124,482.0,346.0,0.6674140313371745
4,baseline,0.8931836118964604,42899,0.8749154991957855,0.13933710981592673,0.12379478574331687,0.8457478995069675,38372,,,,,,,
4,expgrad_dp,0.8931836118964604,42899,0.8688314412923378,0.007262262405148712,0.15892525292919568,0.9919365948772634,38617,0.13207484741077802,0.020163435787382538,0.566747572815534,0.6582984658298466,467.0,357.0,0.6384863963306577
4,expgrad_dp_floor,0.8931836118964604,42899,0.8684584722254598,0.007411594145610101,0.1585861299851995,0.9917721536988792,38623,0.13192551567031663,0.01905431979296615,0.5655339805825242,0.65283540802213,466.0,358.0,0.6541227978734494
