seed,arm,floor_target,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8074367920470296,0.8414273766378589,0.18155707986065783,0.11784858386911007,0.7881009413424094,14521,,,,,,,
0,expgrad_dp,0.8074367920470296,0.8108725954836911,0.012352681889497674,0.14477037868443354,0.9854136614102134,15131,0.16920439797116016,0.0587617931964938,0.425244177310293,0.49124270225187655,566.0,765.0,4.200812616211005
0,expgrad_dp_floor,0.8074367920470296,0.8109841092835238,0.01193473856449434,0.14404495249654825,0.9859109381840453,15137,0.1696223412961635,0.05728480157184382,0.4239700374531835,0.4892205638474295,566.0,769.0,4.242132084567179
1,baseline,0.8066959804999283,0.8413158628380262,0.18488929311687385,0.1182678519282252,0.7836984265580175,14469,,,,,,,
1,expgrad_dp,0.8066959804999283,0.807805965988291,0.013613835694387344,0.1387815341513139,0.9838871995472331,15090,0.1712754574224865,0.05761146458035545,0.4283636363636364,0.5008038585209004,589.0,786.0,4.291934480613726
1,expgrad_dp_floor,0.8066959804999283,0.8073599107889602,0.01035293681698013,0.14037758052421023,0.9877554040817614,15116,0.17453635629989372,0.05308257261283905,0.425089605734767,0.4913522012578616,593.0,802.0,4.4716289999308865
2,baseline,0.807484586340391,0.8417061611374408,0.1666143489768399,0.08149624861127652,0.8042848967424768,14492,,,,,,,
2,expgrad_dp,0.807484586340391,0.8087538332868692,0.007886600728270077,0.15762684490181467,0.9906806843552725,15141,0.15872774824856983,0.031794697960402005,0.42724458204334365,0.47020408163265304,552.0,740.0,4.478332873309412
2,expgrad_dp_floor,0.807484586340391,0.807805965988291,0.00499098797074693,0.16172164189939853,0.9941075716941186,15168,0.16162336100609298,0.026564612067115603,0.4213740458015267,0.4604948124501197,552.0,758.0,4.664642561413194
3,baseline,0.8090140037279548,0.8424310008363535,0.17456398637774106,0.10378325527116744,0.7956699450581123,14509,,,,,,,
3,expgrad_dp,0.8090140037279548,0.8090883746863674,0.007713286255172758,0.16052854965335617,0.9908789891935803,15131,0.1668507001225683,0.051916160127563754,0.43745427944403803,0.5031948881789138,598.0,769.0,4.286994279412778
3,expgrad_dp_floor,0.8090140037279548,0.8105380540841929,0.007261342898740142,0.1611571798431578,0.991408823783649,15125,0.16730264347900092,0.05447726845114653,0.4389173372348208,0.5056179775280899,600.0,767.0,4.245640636846096
4,baseline,0.8063853175930794,0.8381377195427934,0.1794553346938519,0.10981234083719837,0.7897220632484044,14470,,,,,,,
4,expgrad_dp,0.8063853175930794,0.8049066071926401,0.010171603316023181,0.14055485858811612,0.987918206529165,15052,0.1692837313778287,0.06807834099137926,0.43994104642593956,0.5166112956810631,597.0,760.0,4.022114720110574
4,expgrad_dp_floor,0.8063853175930794,0.8049066071926401,0.009494383479354052,0.13857217202062733,0.9887708298376923,15120,0.16996095121449784,0.04653426967227313,0.42116950407105846,0.478330658105939,569.0,782.0,4.492052522460263
