seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8058356832194236,17935,0.8453861165319209,0.24507746477916859,0.21968395562827941,0.7190286336435024,14502,,,,,,,
0,expgrad_dp,0.8058356832194236,17935,0.8292166155561751,0.021763997293966053,0.16033332626396263,0.9737947734378112,14794,0.22331346748520253,0.1868648453996509,0.39571428571428574,0.6548463356973995,554.0,846.0,2.013515377189353
0,expgrad_dp_floor,0.8058356832194236,17935,0.8291608586562587,0.018280441054292718,0.16591105970409786,0.9779251286668373,14767,0.22679702372487587,0.1946224885140841,0.4077940153096729,0.6886016451233843,586.0,851.0,1.8273341608054061
1,baseline,0.8045930315920279,17935,0.8438249233342626,0.25227316805470223,0.21637929674988404,0.7101031265390612,14432,,,,,,,
1,expgrad_dp,0.8045930315920279,17935,0.8254251463618623,0.010045546138155781,0.17851792275788114,0.9879089147298136,14854,0.24222762191654645,0.1626337887920669,0.35626702997275206,0.5534391534391534,523.0,945.0,2.9240576496674056
1,expgrad_dp_floor,0.8045930315920279,17935,0.825536660161695,0.011171395015307506,0.17846952475883937,0.9865477151724968,14842,0.24110177303939473,0.1649553002647385,0.3601637107776262,0.5628997867803838,528.0,938.0,2.840909090909091
2,baseline,0.8057161974860202,17935,0.8470588235294118,0.23634459793338014,0.18533062087019603,0.7281248694078889,14490,,,,,,,
2,expgrad_dp,0.8057161974860202,17935,0.8260942291608586,0.011927948258645404,0.1806376463563648,0.9856014328894548,14802,0.22441664967473474,0.18225418575866248,0.388412017167382,0.6350877192982456,543.0,855.0,2.153209109730849
2,expgrad_dp_floor,0.8057161974860202,17935,0.8268190688597714,0.011818624334477223,0.18104060048321868,0.985720417121904,14789,0.22452597359890292,0.18552024078494891,0.39359430604982204,0.6490610328638498,553.0,852.0,2.0634920634920637
3,baseline,0.8062419347129953,17935,0.8453303596320044,0.24594334194667467,0.2115188325315036,0.7176213951669936,14475,,,,,,,
3,expgrad_dp,0.8062419347129953,17935,0.8253693894619459,0.007733172150873324,0.18509515644789143,0.9906710046819632,14831,0.23821016979580134,0.17644390323161727,0.37907608695652173,0.6105032822757112,558.0,914.0,2.459412780656304
3,expgrad_dp_floor,0.8062419347129953,17935,0.8254809032617787,0.006550656554672463,0.1843213322609642,0.9920903577608157,14823,0.2393926853920022,0.1787187900313959,0.38274932614555257,0.6200873362445415,568.0,916.0,2.4041450777202074
4,baseline,0.8051426659656837,17935,0.8413158628380262,0.24265175735378808,0.21028549925254997,0.7204820190343696,14439,,,,,,,
4,expgrad_dp,0.8051426659656837,17935,0.8228603289657095,0.011578004996501079,0.1646782702228864,0.9860504951144797,14832,0.231073752357287,0.16494253171121426,0.3601423487544484,0.5628476084538376,506.0,899.0,2.721795138167463
4,expgrad_dp_floor,0.8051426659656837,17935,0.8231391134652913,0.013231121122824319,0.1604545931604383,0.9840616673598933,14827,0.22942063623096376,0.16547439918231643,0.36103151862464183,0.5650224215246636,504.0,892.0,2.6871667012951037
