seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6300243750896143,17935,0.7960970170058544,0.24974101450144182,0.12757169280053704,0.6417158300711971,11338,,,,,,,
0,expgrad_dp,0.6300243750896143,17935,0.7632562029551156,0.010946910737420157,0.11184505679695517,0.9832451940338955,11667,0.23879410376402166,0.18295199546326824,0.5529197080291971,0.7959057071960298,1212.0,980.0,2.9017463397424588
0,expgrad_dp_floor,0.6300243750896143,17935,0.7634792305547812,0.010528967412416934,0.11234480692189269,0.983890449306529,11673,0.23921204708902488,0.1816876977525275,0.5521640091116173,0.7929542645241038,1212.0,983.0,2.9546657258775797
1,baseline,0.6291401806624289,17935,0.7943685531084471,0.24885247064631616,0.13359933950182656,0.6434144198272538,11357,,,,,,,
1,expgrad_dp,0.6291401806624289,17935,0.762698633955952,0.016297526239843485,0.10725050967443375,0.9749894857981549,11611,0.23255494440647267,0.19887287393370814,0.5735567970204841,0.834419817470665,1232.0,916.0,2.236506119573831
1,expgrad_dp_floor,0.6291401806624289,17935,0.7632004460551993,0.018541900164267267,0.1056142222686263,0.9715682297781459,11610,0.2303105704820489,0.1985215129151057,0.5745079662605436,0.8343156516044532,1226.0,908.0,2.2277009773707843
2,baseline,0.6298331979161688,17935,0.7930861444103707,0.23308048174439205,0.11893280502635561,0.6608530824596066,11240,,,,,,,
2,expgrad_dp,0.6298331979161688,17935,0.7627543908558684,0.0002223178469737963,0.14067721308007586,0.9996590629852808,11694,0.23285816389741826,0.15106302188530954,0.5394248608534323,0.7312018946121965,1163.0,993.0,4.039145907473309
2,expgrad_dp_floor,0.6298331979161688,17935,0.7600223027599665,0.0006022516266177558,0.13822686045443003,0.9990729863657998,11649,0.2324782301177743,0.16167803091759625,0.543448275862069,0.7559665871121718,1182.0,993.0,3.6387900355871885
3,baseline,0.6294030492759165,17935,0.7989963758015054,0.23331848196439797,0.12325119381596994,0.6628348572374717,11324,,,,,,,
3,expgrad_dp,0.6294030492759165,17935,0.7630889322553666,0.01165412109158892,0.12807850699242326,0.982040613858162,11584,0.22166436087280905,0.19437164583846933,0.5642484589853011,0.8308392973324659,1190.0,919.0,2.2960084775697633
3,expgrad_dp_floor,0.6294030492759165,17935,0.760078059659883,0.009710347540140551,0.1322053880567877,0.9849310842848736,11512,0.22360813442425742,0.21289341880821425,0.575813953488372,0.8761528326745718,1238.0,912.0,1.660190745319675
4,baseline,0.6311714381302872,17935,0.791747978812378,0.23947900311325826,0.12573310497447343,0.6540076999312638,11298,,,,,,,
4,expgrad_dp,0.6311714381302872,17935,0.7603010872595484,0.002218053405561471,0.1288365610448312,0.9965977034070209,11682,0.2372609497076968,0.16953046328129895,0.5454130534002738,0.7682558841279421,1195.0,996.0,3.398831651619756
4,expgrad_dp_floor,0.6311714381302872,17935,0.7575689991636465,0.0006022516266177558,0.1336970252632117,0.9990729863657998,11649,0.2388767514866405,0.17784349142510006,0.5506787330316743,0.7867557715674363,1217.0,993.0,3.106744556558683
