seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.13704318936877077,2581,0.5896939170864006,0.09341838925351163,0.042219436698984425,0.3863819500402901,331,,,,,,,
0,expgrad_dp,0.13704318936877077,2581,0.5753583882216196,0.011486795728959748,0.090928380890793,0.9078172627274276,314,0.08193159352455189,0.3372685651760777,0.664,1.2361111111111112,83.0,42.0,-5.13595166163142
0,expgrad_dp_floor,0.13704318936877077,2581,0.5947307245253778,0.007222203873126998,0.12709158515883923,0.9505279034690801,372,0.08619618538038464,0.07258461819177103,0.5846153846153846,0.652542372881356,76.0,54.0,12.386706948640484
1,baseline,0.12275747508305648,2581,0.5885315769081751,0.108855220920485,0.09852679654029586,0.26484396575531616,310,,,,,,,
1,expgrad_dp,0.12275747508305648,2581,0.5695466873304921,0.032789308873465164,0.011862065437057125,0.7167121873004226,277,0.07606591204701983,0.4249648498883468,0.7217391304347827,1.6226415094339623,83.0,32.0,-10.64516129032258
1,expgrad_dp_floor,0.12275747508305648,2581,0.5796203022084463,0.013870343196234147,0.05182483226901624,0.8853305247828573,303,0.09498487772425085,0.28543043067905227,0.6461538461538462,1.0897435897435896,84.0,46.0,-2.2580645161290325
2,baseline,0.12142857142857143,2581,0.5893064703603255,0.1068255488607571,0.09942607711583543,0.27600211054794305,310,,,,,,,
2,expgrad_dp,0.12142857142857143,2581,0.5761332816737699,0.03342235265807615,0.030929189232883347,0.7200695528463317,286,0.07340319620268095,0.383557241113325,0.7075471698113207,1.4615384615384615,75.0,31.0,-7.741935483870968
2,expgrad_dp_floor,0.12142857142857143,2581,0.5823324292909725,0.03167184897541275,0.027776655080430035,0.7500139657002401,306,0.07515369988534434,0.27749874434957283,0.6859504132231405,1.0493827160493827,83.0,38.0,-1.2903225806451613
3,baseline,0.12425249169435217,2581,0.5885315769081751,0.12026966878834633,0.11965483792741088,0.2386890272737681,328,,,,,,,
3,expgrad_dp,0.12425249169435217,2581,0.5753583882216196,0.022454574193517957,0.07115431250505214,0.8159492593881733,300,0.09781509459482837,0.3677855046830406,0.6666666666666666,1.4242424242424243,90.0,45.0,-8.536585365853659
3,expgrad_dp_floor,0.12425249169435217,2581,0.5916311507167764,0.02301291094764689,0.07338735752970654,0.8328077151606563,340,0.09725675784069944,0.20907216494845365,0.6258992805755396,0.88,87.0,52.0,3.658536585365854
4,baseline,0.12009966777408639,2581,0.5904688105385509,0.12051187684506706,0.13942890631315172,0.20020145401785946,309,,,,,,,
4,expgrad_dp,0.12009966777408639,2581,0.5683843471522666,0.030461595081603676,0.023813665549615004,0.7481666406615696,292,0.09005028176346339,0.330020696701627,0.6612903225806451,1.2537313432835822,82.0,42.0,-5.501618122977346
4,expgrad_dp_floor,0.12009966777408639,2581,0.5761332816737699,0.03682977963785178,0.013906014172060062,0.7174419306184012,312,0.08368209720721528,0.24298722900397512,0.6666666666666666,0.9666666666666667,86.0,43.0,0.970873786407767
