seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.7111988225849611,6407,0.7774309349149368,0.29551614084308947,0.2228675483994632,0.6183279734538859,4620,,,,,,,
0,expgrad_dp,0.7111988225849611,6407,0.733728734196972,0.025105722117803264,0.09046939168377821,0.9644363806937346,4494,0.2704104187252862,0.25268587133090653,0.6820448877805486,1.2844243792325056,547.0,255.0,-2.727272727272727
0,expgrad_dp_floor,0.7111988225849611,6407,0.7641641954112689,0.010370820596441455,0.007782250335441776,0.9894176944234407,6267,0.285145320246648,-0.7215548946925708,0.022452504317789293,0.00783132530120482,13.0,566.0,35.64935064935065
1,baseline,0.7088573722237088,6407,0.7916341501482753,0.28737514984659607,0.2102996613634911,0.6231921544062851,4555,,,,,,,
1,expgrad_dp,0.7088573722237088,6407,0.7345091306383643,0.018826113899590324,0.1460592594969199,1.027293709279373,4441,0.3062012637461864,0.23806838551423926,0.6647398843930635,1.2365145228215768,575.0,290.0,-2.502744237102086
1,expgrad_dp_floor,0.7088573722237088,6407,0.7660371468706103,0.006354387075836354,0.02473690965092401,0.993448596998343,6207,0.2810207627707597,-0.7375634771218026,0.04088586030664395,0.014319809069212411,24.0,563.0,36.26783754116356
2,baseline,0.7103291410222103,6407,0.7755579834555955,0.25148261878530737,0.16224522394735164,0.6616415674524955,4472,,,,,,,
2,expgrad_dp,0.7103291410222103,6407,0.7371624785390979,0.019692095990301528,0.08448368518993837,0.9718546593218051,4460,0.23179052279500584,0.18803978193290616,0.6623931623931624,1.025369978858351,465.0,237.0,-0.26833631484794274
2,expgrad_dp_floor,0.7103291410222103,6407,0.7700952083658499,0.0026321167434979476,0.032148357289527696,0.9972782638515375,6193,0.24885050204180942,-0.8994535330633063,0.043706293706293704,0.015446224256292907,25.0,547.0,38.48389982110913
3,baseline,0.7130719828739631,6407,0.7855470579054159,0.2914997073224844,0.1941153919877323,0.618545588475135,4560,,,,,,,
3,expgrad_dp,0.7130719828739631,6407,0.7462150772592477,0.03547010479934998,0.07313991914784396,0.9499973354934841,4504,0.25602960252313445,0.21409781610736872,0.6603260869565217,1.125,486.0,250.0,-1.2280701754385965
3,expgrad_dp_floor,0.7130719828739631,6407,0.7630716403933198,0.02364200439032782,0.008544420559548294,0.9751569817866436,6070,0.2678577029321566,-0.6999097153104958,0.06890459363957598,0.026434558349451968,39.0,527.0,33.1140350877193
4,baseline,0.7167514048702167,6407,0.7825815514281255,0.29245350917534935,0.20914318573893043,0.6138349491813809,4515,,,,,,,
4,expgrad_dp,0.7167514048702167,6407,0.7357577649445919,0.004823814078300237,0.09875713873203285,1.0069398464313772,4459,0.2972773232536496,0.20936105704758548,0.6599286563614745,1.1089494163424125,555.0,286.0,-1.2403100775193798
4,expgrad_dp_floor,0.7167514048702167,6407,0.7668175433120025,0.01234329867534123,0.004747300491981354,0.9871580809425262,6144,0.2801102105000081,-0.7277303079966689,0.0651085141903172,0.024550898203592814,39.0,560.0,36.079734219269106
