seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.441340782122905,82622,0.6218924741594248,0.12389930114123593,0.048638083988861325,0.7315177798344429,36602,,,,,,,
0,expgrad_dp,0.441340782122905,82622,0.6223160901454818,0.009884609146365575,0.09561731244504335,0.9781358653302774,37231,0.11401469199487035,0.08234086725129565,0.6816690107829348,0.8255684969495286,2908.0,1358.0,1.7184853286705644
0,expgrad_dp_floor,0.441340782122905,82622,0.7877320810437898,0.0,0.0,1.0,82622,0.12389930114123593,-4.346429116768974,0.0,0.0,0.0,8161.0,125.73083438063493
1,baseline,0.4426479513235088,82622,0.6167969790128537,0.13251943978612496,0.06427070939975843,0.7100951687875231,36135,,,,,,,
1,expgrad_dp,0.4426479513235088,82622,0.6175594877877563,0.008774643680122873,0.09441144707248339,0.9803380187416333,36764,0.12374479610600209,0.0875911738613484,0.6774983307367015,0.8314124899490754,3044.0,1449.0,1.7406946174069462
1,expgrad_dp_floor,0.4426479513235088,82622,0.7877320810437898,0.0,0.0,1.0,82622,0.13251943978612496,-4.0966548398174,0.0,0.0,0.0,8321.0,128.64812508648126
2,baseline,0.4419528692882671,82622,0.6196049478347171,0.13478845625939595,0.06503000797843234,0.7080836064216119,36489,,,,,,,
2,expgrad_dp,0.4419528692882671,82622,0.6221587470649463,0.016040800043744474,0.08701204163559928,0.9646067313829852,37248,0.11874765621565148,0.07175201397579856,0.6745562130177515,0.8,2964.0,1430.0,2.080078927896078
2,expgrad_dp_floor,0.4419528692882671,82622,0.7877320810437898,0.0,0.0,1.0,82622,0.13478845625939595,-3.99339458830719,0.0,0.0,0.0,8292.0,126.42988297843186
3,baseline,0.4410036154640191,82622,0.6183340998765462,0.12629947255384655,0.05410750222058647,0.7244054404531467,36308,,,,,,,
3,expgrad_dp,0.4410036154640191,82622,0.6195323279513931,0.004939505886847384,0.10208139273221106,0.9889693102869304,36937,0.12135996666699916,0.08638221959257095,0.6813431176339783,0.8327127659574468,3064.0,1433.0,1.732400572876501
3,expgrad_dp_floor,0.4410036154640191,82622,0.7877320810437898,0.0,0.0,1.0,82622,0.12629947255384655,-4.289170786003694,0.0,0.0,0.0,8230.0,127.55866475707833
4,baseline,0.43796392835467857,82622,0.6208878991067754,0.14138571042482023,0.07104443923795167,0.6939182664813169,36423,,,,,,,
4,expgrad_dp,0.43796392835467857,82622,0.6235143182203288,0.02117701524812987,0.08427427706859936,0.9532929717341482,37200,0.12020869517669036,0.07087992657981099,0.6726108824874257,0.7941721854304635,2942.0,1432.0,2.1332674409027264
4,expgrad_dp_floor,0.43796392835467857,82622,0.7877320810437898,0.0,0.0,1.0,82622,0.14138571042482023,-3.805749348167549,0.0,0.0,0.0,8371.0,126.84018340059852
