seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.524722640734146,6259,0.7879853011663205,0.3152096681615753,0.166777195617924,0.4824403445822061,3312,,,,,,,
0,expgrad_dp,0.524722640734146,6259,0.7362198434254673,0.050908076743623076,0.13485056257692096,0.910262752688438,3470,0.26430159141795223,0.15788433863119938,0.5331664580725908,0.7384105960264901,426.0,373.0,4.770531400966184
0,expgrad_dp_floor,0.524722640734146,6259,0.737018693081962,0.04615821781050711,0.14452073194349868,0.919305143348859,3507,0.2690514503510682,0.13759890714438297,0.515802781289507,0.6844660194174758,408.0,383.0,5.88768115942029
1,baseline,0.5223257088070128,6259,0.7975714970442562,0.320983628145805,0.19642321652807881,0.46753408082167314,3264,,,,,,,
1,expgrad_dp,0.5223257088070128,6259,0.7250359482345422,0.0020295820831159883,0.13937273293518487,0.9963800621853431,3506,0.318954046062689,0.13217287275333153,0.4961832061068702,0.6638888888888889,455.0,462.0,7.41421568627451
1,expgrad_dp_floor,0.5223257088070128,6259,0.723438248921553,0.010069652364243287,0.12825174953284724,0.9821353509878098,3512,0.3109139757815617,0.12595489912125185,0.5011037527593819,0.656984785615491,454.0,452.0,7.598039215686274
2,baseline,0.5213669360361595,6259,0.7990094264259466,0.3084267190258006,0.14934839785839682,0.48080761599151073,3229,,,,,,,
2,expgrad_dp,0.5213669360361595,6259,0.7347819140437769,0.02178569221540183,0.11937891632878728,0.9603101209658585,3401,0.28664102681039877,0.1575245774699268,0.5260047281323877,0.7291338582677165,445.0,401.0,5.326726540724683
2,expgrad_dp_floor,0.5213669360361595,6259,0.7384566224636523,0.027529158545145038,0.12729903727813974,0.9501959899800764,3416,0.28089756048065556,0.14703257410038617,0.525323910482921,0.7149390243902439,446.0,403.0,5.79126664602044
3,baseline,0.5250650595808793,6259,0.7871864515098258,0.28541480410255693,0.13337577400798742,0.5243425893112523,3303,,,,,,,
3,expgrad_dp,0.5250650595808793,6259,0.7231187090589551,0.012568782755379648,0.1245361317448318,0.9776507146819295,3500,0.2728460213471773,0.13803819174004112,0.5157004830917874,0.6978527607361963,427.0,401.0,5.964274901604602
3,expgrad_dp_floor,0.5250650595808793,6259,0.7261543377536348,0.02800693744132332,0.11688855291846534,0.9506685191619662,3509,0.2574078666612336,0.1255334171669514,0.5192546583850932,0.6850152905198776,418.0,387.0,6.2367544656373
4,baseline,0.5225996438843994,6259,0.7999680460137402,0.3071505730783128,0.14714619503083082,0.5019727175590022,3373,,,,,,,
4,expgrad_dp,0.5225996438843994,6259,0.7226393992650583,0.00873508273360235,0.15781702267980802,1.0156514730115505,3507,0.31588565581191513,0.1856200462337281,0.5452653485952134,0.8049490538573508,524.0,437.0,3.9727245775274236
4,expgrad_dp_floor,0.5225996438843994,6259,0.7221600894711615,0.010615164953130085,0.15808174257135527,1.0189983400329288,3514,0.31776573803144287,0.1825015010093065,0.541795665634675,0.7979942693409742,525.0,444.0,4.180254965905722
