seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.92041610591787,11783,0.8923873376898922,0.0682648186396313,0.026943338044455922,0.9258883364286703,10833,,,,,,,
0,expgrad_dp,0.92041610591787,11783,0.8855978952728507,0.025795959828943338,0.05508158807657715,0.9721263828871297,10897,0.04246885881068796,-0.10251944097760107,0.8740740740740741,0.654054054054054,118.0,17.0,0.590787408843349
0,expgrad_dp_floor,0.92041610591787,11783,0.8855978952728507,0.023235177283153385,0.05231915713735058,0.9749146586519006,10907,0.04502964135647791,-0.11409335204599684,0.8695652173913043,0.6243654822335025,120.0,18.0,0.6830979414751223
1,baseline,0.9181246135379915,11783,0.8892472205720106,0.07638255464342425,0.04243864833611721,0.9169024954978132,10808,,,,,,,
1,expgrad_dp,0.9181246135379915,11783,0.8853432911822117,0.014840190627297134,0.10377746370294239,0.9838902779881009,10850,0.061542364016127116,-0.032543216653495056,0.8639455782312925,0.7529411764705882,127.0,20.0,0.38860103626943004
1,expgrad_dp_floor,0.9181246135379915,11783,0.8854281592124247,0.01597220037999658,0.1004625465758705,0.982682708726975,10863,0.06041035426342767,-0.05189170426935124,0.8540145985401459,0.6820809248554913,117.0,20.0,0.5088823094004441
2,baseline,0.918306478012585,11783,0.8898412967835017,0.09141495685723566,0.10555055891044585,0.9007272468512062,10823,,,,,,,
2,expgrad_dp,0.918306478012585,11783,0.8826275142153951,0.014543427586905855,0.06063214698702302,0.9842644881846593,10886,0.07687152927032981,-0.04417798488378716,0.8397435897435898,0.676923076923077,131.0,25.0,0.5820936893652406
2,expgrad_dp_floor,0.918306478012585,11783,0.8828821183060341,0.015430221951961087,0.06123602723885391,0.9834407374174076,10975,0.07598473490527458,-0.14439461883408086,0.7627118644067796,0.3770491803278688,90.0,28.0,1.404416520373279
3,baseline,0.9201251227585203,11783,0.8892472205720106,0.07375071205655914,0.0911088269304895,0.9204066180568062,10896,,,,,,,
3,expgrad_dp,0.9201251227585203,11783,0.8827972502758211,0.015762515012889833,0.06949762302454066,0.9829679410605922,10900,0.05798819704366931,0.019521382115863378,0.8867924528301887,0.9726027397260274,141.0,18.0,0.03671071953010279
3,expgrad_dp_floor,0.9201251227585203,11783,0.8824577781549691,0.007834951987875427,0.08783245535140694,0.9916137022435678,11006,0.06591576006868372,-0.11625194401244078,0.7864077669902912,0.42408376963350786,81.0,22.0,1.0095447870778267
4,baseline,0.9195067835449023,11783,0.8894169566324366,0.09684930262141656,0.14982654503404863,0.8950639313799087,10846,,,,,,,
4,expgrad_dp,0.9195067835449023,11783,0.8836459305779513,0.04264097554952129,0.012475909032506727,0.9537636707382965,10854,0.05420832707189527,0.012850818756178578,0.8902439024390244,0.9487179487179487,146.0,18.0,0.07375991148810622
4,expgrad_dp_floor,0.9195067835449023,11783,0.8850038190613596,0.033668480445092186,0.014698702299884459,0.9637969260831987,10948,0.06318082217632437,-0.11163658991910416,0.8073394495412844,0.4631578947368421,88.0,21.0,0.9404388714733543
