seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8173801030519223,21627,0.8571692791418135,0.002280657256894858,0.005202709412797657,0.9972139055522463,17684,,,,,,,
0,expgrad_dp,0.8173801030519223,21627,0.8576316641235493,0.0029004054472006047,0.007161048854447627,0.9964574724148676,17682,-0.0006197481903057467,,0.5,1.3333333333333333,2.0,2.0,-0.011309658448314861
0,expgrad_dp_floor,0.8173801030519223,21627,0.8571692791418135,0.002280657256894858,0.005202709412797657,0.9972139055522463,17684,0.0,,,,0.0,0.0,0.0
1,baseline,0.8169242964724535,21627,0.8562445091783419,0.00932428844088673,0.04317489542299241,0.9886390425633441,17670,,,,,,,
1,expgrad_dp,0.8169242964724535,21627,0.856013316687474,0.009287698636398445,0.04346678100384471,0.9886815115021091,17667,3.658980448828508e-05,4.187545787537945,0.6666666666666666,1.4285714285714286,6.0,3.0,-0.01697792869269949
1,expgrad_dp_floor,0.8169242964724535,21627,0.8562445091783419,0.00932428844088673,0.04317489542299241,0.9886390425633441,17670,0.0,,,,0.0,0.0,0.0
2,baseline,0.8182520808561237,21627,0.8549035927313081,0.002415570433443648,0.017339737476374628,0.9970633844772525,17769,,,,,,,
2,expgrad_dp,0.8182520808561237,21627,0.8548573542331345,0.0012263883847180024,0.014104562820555222,0.9985071297597945,17756,0.0011891820487256455,0.9019227734823559,0.8,3.1666666666666665,16.0,4.0,-0.07316112330463166
2,expgrad_dp_floor,0.8182520808561237,21627,0.8549035927313081,0.002415570433443648,0.017339737476374628,0.9970633844772525,17769,0.0,,,,0.0,0.0,0.0
3,baseline,0.8166270313119303,21627,0.8541175382623573,0.012830101019491114,0.047018274506960334,0.9843587084517216,17630,,,,,,,
3,expgrad_dp,0.8166270313119303,21627,0.8541637767605308,0.012939870432955747,0.04892774741572231,0.9842337226956621,17639,-0.0001097694134646332,,0.3333333333333333,0.4,3.0,6.0,0.05104934770277935
3,expgrad_dp_floor,0.8166270313119303,21627,0.8541175382623573,0.012830101019491114,0.047018274506960334,0.9843587084517216,17630,0.0,,,,0.0,0.0,0.0
4,baseline,0.8191636940150614,21627,0.8559670781893004,0.005252473135711866,0.03213079626701726,0.9935948681016025,17690,,,,,,,
4,expgrad_dp,0.8191636940150614,21627,0.8558283626947797,0.005369104812875447,0.03242268184786956,0.9934526415244336,17689,-0.00011663167716358114,,0.6666666666666666,1.3333333333333333,2.0,1.0,-0.005652911249293386
4,expgrad_dp_floor,0.8191636940150614,21627,0.8559670781893004,0.005252473135711866,0.03213079626701726,0.9935948681016025,17690,0.0,,,,0.0,0.0,0.0
