seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.04073193424997416,12438,0.4917993246502653,0.030759404209642537,0.026372380356584305,0.31662755061082437,521,,,,,,,
0,expgrad_dp,0.04073193424997416,12438,0.48705579675188937,0.0012578977293861981,0.02501545339501448,0.9708964655778659,536,0.02950150648025634,0.06066500954645333,0.5070422535211268,0.7058823529411765,36.0,35.0,2.8790786948176583
0,expgrad_dp_floor,0.04073193424997416,12438,0.5436565364206464,0.0,0.0,1.0,12438,0.030759404209642537,-31.04705175070657,0.0,0.0,0.0,1245.0,2287.332053742802
1,baseline,0.03897446500568593,12438,0.4934876989869754,0.03597102881708088,0.04021348138880201,0.22248308117818405,530,,,,,,,
1,expgrad_dp,0.03897446500568593,12438,0.4908345393150024,0.017567844750168718,0.024124178917735377,0.6120144958831316,541,0.01840318406691216,0.0534874857070255,0.4634146341463415,0.6333333333333333,19.0,22.0,2.0754716981132075
1,expgrad_dp_floor,0.03897446500568593,12438,0.5436565364206464,0.0,0.0,1.0,12438,0.03597102881708088,-26.51400444360405,0.0,0.0,0.0,1250.0,2246.7924528301887
2,baseline,0.03993935008098143,12438,0.4912365332046953,0.032405213962707305,0.03567797935564592,0.25488011104268693,500,,,,,,,
2,expgrad_dp,0.03993935008098143,12438,0.4889049686444766,0.013478720634262729,0.020214263371911158,0.6848855583935439,515,0.018926493328444576,0.037824421908515996,0.3783783783783784,0.4827586206896552,14.0,23.0,3.0
2,expgrad_dp_floor,0.03993935008098143,12438,0.5436565364206464,0.0,0.0,1.0,12438,0.032405213962707305,-29.517165608437846,0.0,0.0,0.0,1249.0,2387.6
3,baseline,0.039008925186946486,12438,0.4917993246502653,0.03407823069606296,0.04189474507350641,0.21802006564989004,499,,,,,,,
3,expgrad_dp,0.039008925186946486,12438,0.48995015275767806,0.02184380430104099,0.03233500156396621,0.49460763340759206,510,0.01223442639502197,0.029256936360951006,0.5,0.5769230769230769,15.0,15.0,2.2044088176352705
3,expgrad_dp_floor,0.039008925186946486,12438,0.5436565364206464,0.0,0.0,1.0,12438,0.03407823069606296,-28.065441254436244,0.0,0.0,0.0,1251.0,2392.5851703406815
4,baseline,0.04062855370619249,12438,0.492040520984081,0.03632897065153278,0.041992492962152024,0.22077495771424405,534,,,,,,,
4,expgrad_dp,0.04062855370619249,12438,0.48970895642386236,0.018270124928927076,0.019999218016890828,0.5957056513252276,539,0.018058845722605705,0.07928343592942659,0.5217391304347826,0.8333333333333334,24.0,22.0,0.9363295880149812
4,expgrad_dp_floor,0.04062855370619249,12438,0.5436565364206464,0.0,0.0,1.0,12438,0.03632897065153278,-26.242914648131247,0.0,0.0,0.0,1250.0,2229.2134831460676
