seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8294467787114846,12240,0.8330882352941177,0.12448328861421776,0.06142066466165064,0.8513294421860057,10139,,,,,,,
0,expgrad_dp,0.8294467787114846,12240,0.8290849673202615,0.020987323327350094,0.12255842343913503,0.9748262929593062,10186,0.10349596528686766,0.034875491569575534,0.6307053941908713,0.765,152.0,89.0,0.46355656376368476
0,expgrad_dp_floor,0.8294467787114846,12240,0.8277777777777777,0.03320902714913809,0.11921578886176021,0.9601540784422669,10172,0.09127426146507966,0.042438912773824444,0.658008658008658,0.8235294117647058,152.0,79.0,0.3254758851957787
1,baseline,0.828186274509804,12240,0.8358660130718955,0.1258730769872609,0.06627136379490756,0.8495113902222612,10127,,,,,,,
1,expgrad_dp,0.828186274509804,12240,0.8270424836601307,0.009696441959897495,0.12358301360306945,0.9883225313589402,10155,0.11617663502736342,0.05228657540090701,0.6380597014925373,0.8592964824120602,171.0,97.0,0.2764885948454626
1,expgrad_dp_floor,0.828186274509804,12240,0.828186274509804,0.007435687563022819,0.13824700616207414,0.9910574933797378,10171,0.1184373894242381,0.04162546530817491,0.6062992125984252,0.7777777777777778,154.0,100.0,0.4344820776142984
2,baseline,0.8300420168067227,12240,0.8378267973856209,0.1288756913842415,0.05440248211750365,0.8466800399629661,10175,,,,,,,
2,expgrad_dp,0.8300420168067227,12240,0.8321078431372549,0.020723215571385567,0.12038571096384143,0.9751352059073235,10183,0.10815247581285592,0.06593385271529897,0.6484375,0.9542857142857143,166.0,90.0,0.07862407862407862
2,expgrad_dp_floor,0.8300420168067227,12240,0.8322712418300654,0.018119710662608757,0.13729508196721313,0.9783094326676601,10209,0.11075598072163273,0.04689696363836477,0.5957446808510638,0.8068181818181818,140.0,95.0,0.33415233415233414
3,baseline,0.8296218487394958,12240,0.8348856209150327,0.1360288845749179,0.07378502499709338,0.8380173917720418,10159,,,,,,,
3,expgrad_dp,0.8296218487394958,12240,0.8299019607843138,0.03844421645484253,0.08935007557260782,0.9538482504004908,10162,0.09758466812007538,0.06946547922957888,0.664,0.9826589595375722,166.0,84.0,0.02953046559700758
3,expgrad_dp_floor,0.8296218487394958,12240,0.8296568627450981,0.03312099123048329,0.10230641785838857,0.9602555103119523,10171,0.10290789334443462,0.062450234408075976,0.6535433070866141,0.9337016574585635,166.0,88.0,0.11812186238803032
4,baseline,0.829201680672269,12240,0.831045751633987,0.14203761082308186,0.06989833605588047,0.8304712386950314,10130,,,,,,,
4,expgrad_dp,0.829201680672269,12240,0.824673202614379,0.018022281581237087,0.12697651435879542,0.9783941850679396,10194,0.12401532924184477,0.029814931800015262,0.6074074074074074,0.7192982456140351,164.0,106.0,0.631786771964462
4,expgrad_dp_floor,0.829201680672269,12240,0.8236111111111111,0.010595587471879164,0.13693175212184638,0.9872882046796498,10193,0.1314420233512027,0.0328187280148584,0.5836431226765799,0.7136363636363636,157.0,112.0,0.6219151036525172
