seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.9035644999181918,91678,0.854545256222867,0.09968145887634361,0.07496026543927203,0.890636719353617,82948,,,,,,,
0,expgrad_dp,0.9035644999181918,91678,0.8485896289186065,0.010283314258665799,0.1050384663631263,0.988678531432309,83208,0.08939814461767781,0.03544647828550737,0.6256944444444444,0.7775876817792986,901.0,539.0,0.31344938997926414
0,expgrad_dp_floor,0.9035644999181918,91678,0.8483714740722965,0.009124509221009158,0.1038557342519495,0.989955875549225,83228,0.09055694965533445,0.03344338948281335,0.6264564770390678,0.7666666666666667,914.0,545.0,0.33756088151613056
1,baseline,0.9030923497650936,91678,0.8541743929841401,0.10531177966799443,0.08835491336969759,0.8843497477084188,82834,,,,,,,
1,expgrad_dp,0.9030923497650936,91678,0.8486987063417614,0.0017999926172377334,0.12150132540434133,0.9980171400225912,83212,0.1035117870507567,0.027337441542911994,0.6031746031746031,0.7164291072768192,950.0,625.0,0.45633435545790374
1,expgrad_dp_floor,0.9030923497650936,91678,0.848360566329981,0.0030978016990075297,0.11706208240803162,0.9965868666009724,83189,0.1022139779689869,0.029286129780047684,0.6118090452261307,0.7342814371257484,974.0,618.0,0.4285679793321583
2,baseline,0.9037795386017811,91678,0.8551451820502193,0.10863106043504833,0.09100627344270151,0.8807352424622206,82835,,,,,,,
2,expgrad_dp,0.9037795386017811,91678,0.8496258644385785,0.01227482955085768,0.10468654152864687,0.9864793479754077,83155,0.09635623088419065,0.030945156588061608,0.6111111111111112,0.741727199354318,913.0,581.0,0.3863101346049375
2,expgrad_dp_floor,0.9037795386017811,91678,0.8493968018499531,0.012886683562963519,0.10253294901432097,0.9857997245383314,83118,0.09574437687208481,0.034928912475387146,0.6222950819672131,0.7715899919289749,949.0,576.0,0.34164302529124163
3,baseline,0.9042703877708436,91678,0.8539344226531992,0.10273192962617395,0.09043448174140067,0.8874660934068938,83060,,,,,,,
3,expgrad_dp,0.9042703877708436,91678,0.8491022928074348,0.009557289475067399,0.10288197904992702,0.989501369317323,83399,0.09317464015110655,0.02748392144069141,0.6139154160982264,0.7281475541299118,900.0,566.0,0.4081386949193354
3,expgrad_dp_floor,0.9042703877708436,91678,0.8489823076419643,0.01064724949573903,0.10078063076288968,0.9883034531795858,83388,0.09208468013043491,0.028317166017586517,0.6188858695652174,0.7373899119295436,911.0,561.0,0.3948952564411269
4,baseline,0.9035411261482365,91678,0.8551997207617967,0.11703765299863189,0.10568124956061087,0.8714545864013793,82750,,,,,,,
4,expgrad_dp,0.9035411261482365,91678,0.84976766508868,0.015989050118017878,0.0933656723721773,0.9823940518876614,83160,0.10104860288061401,0.022912220745541497,0.6014257939079715,0.6951672862453532,928.0,615.0,0.4954682779456193
4,expgrad_dp_floor,0.9035411261482365,91678,0.8497131263771025,0.017879268899947176,0.0921444807902525,0.9803114165884617,83143,0.09915838409868472,0.023938608648634025,0.6118633139909736,0.7084569732937686,949.0,602.0,0.47492447129909365
