seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6328600405679513,2113,0.8092759110269758,0.32905196962505934,0.31588948233360725,0.48195021715780134,1326,,,,,,,
0,expgrad_dp,0.6328600405679513,2113,0.7818267865593942,0.012211279860781521,0.15545060999606458,0.9810638004262562,1362,0.3168406897642778,-0.030582948445886958,0.8787878787878788,0.7631578947368421,116.0,16.0,2.7149321266968327
0,expgrad_dp_floor,0.6328600405679513,2113,0.7699952673923331,0.011726783736750512,0.14128295946477765,0.9818014423814638,1361,0.3173251858883088,-0.029009441311189408,0.8888888888888888,0.7852760736196319,128.0,16.0,2.6395173453996983
1,baseline,0.6300202839756592,2113,0.808329389493611,0.20950996677740868,0.11216056670602126,0.6716563618613732,1338,,,,,,,
1,expgrad_dp,0.6300202839756592,2113,0.7718883104590629,0.015523651320993537,0.15741833923652104,1.0235941210062818,1391,0.22503361809840222,-0.08827277121138853,0.88,0.624113475177305,88.0,12.0,3.961136023916293
1,expgrad_dp_floor,0.6300202839756592,2113,0.7681022243256034,0.0034310235722195825,0.1380443714050945,0.9947737028390692,1387,0.2060789432051891,-0.08933883504462103,0.8921568627450981,0.65,91.0,11.0,3.6621823617339313
2,baseline,0.6290060851926977,2113,0.8078561287269286,0.281937193482044,0.1621408894136167,0.5516807647558253,1315,,,,,,,
2,expgrad_dp,0.6290060851926977,2113,0.7903454803596782,0.1414432051890524,0.12571898110106816,0.7829451483195509,1370,0.1404939882929916,-0.16208037159546798,0.9304347826086956,0.6604938271604939,107.0,8.0,4.182509505703422
2,expgrad_dp_floor,0.6290060851926977,2113,0.7889256980596309,0.1419277013130834,0.12654067378800327,0.7823634654456135,1371,0.14000949216896058,-0.16610169491525456,0.9285714285714286,0.65,104.0,8.0,4.258555133079848
3,baseline,0.6332657200811359,2113,0.8054898248935163,0.30761548805568745,0.2032148726376335,0.5300382180999712,1368,,,,,,,
3,expgrad_dp,0.6332657200811359,2113,0.7586370089919545,0.016027922797025806,0.12790240062967334,0.9760451610043003,1413,0.29158756525866164,-0.04984740590030489,0.8897058823529411,0.7289156626506024,121.0,15.0,3.289473684210526
3,expgrad_dp_floor,0.6332657200811359,2113,0.7614765735920492,0.05490626483151395,0.0722576006573542,0.9177004134987329,1407,0.2527092232241735,-0.049847405900304814,0.8984375,0.7467532467532467,115.0,13.0,2.8508771929824563
4,baseline,0.6310344827586207,2113,0.795551348793185,0.37574157570004746,0.22746950019677292,0.39458968599149263,1293,,,,,,,
4,expgrad_dp,0.6310344827586207,2113,0.7780407004259347,0.15264594209776938,0.031090121999212905,0.7623972665989472,1350,0.22309563360227808,-0.097726366174711,0.8725490196078431,0.6122448979591837,89.0,13.0,4.408352668213457
4,expgrad_dp_floor,0.6310344827586207,2113,0.7785139611926172,0.15216144597373837,0.029909484454939017,0.7629726607624181,1349,0.22358012972630908,-0.09534760304263241,0.875,0.6216216216216216,91.0,13.0,4.331013147718484
