seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8538629227415452,42859,0.8648358571128585,0.1814259614722129,0.13637512563779614,0.7943413261301758,36517,,,,,,,
0,expgrad_dp,0.8538629227415452,42859,0.8165612823444317,0.010158520856461073,0.1247041388892346,0.9887695976005133,38696,0.17126744061575183,-0.1307028130334441,0.36960431654676257,0.2794312169312169,822.0,1402.0,5.967083823972397
0,expgrad_dp_floor,0.8538629227415452,42859,0.8157913157096526,0.009008146943189188,0.12368568567159899,0.9900379639975339,38691,0.17241781452902372,-0.1280455891760238,0.37770897832817335,0.2872131147540984,854.0,1407.0,5.9533915710491
1,baseline,0.8537329253414931,42859,0.8635525793882265,0.1780098980433431,0.14067265542417,0.7992895716723563,36744,,,,,,,
1,expgrad_dp,0.8537329253414931,42859,0.8193611610163559,0.01650427160881396,0.11352600591875583,0.9817632978154224,38670,0.16150562643452915,-0.11209503568168783,0.3907563025210084,0.3094299031911079,837.0,1305.0,5.241672109732201
1,expgrad_dp_floor,0.8537329253414931,42859,0.8184045358034485,0.016927128593326568,0.1107457368847311,0.9812873755979861,38649,0.16108276945001654,-0.10978367030376794,0.4032110091743119,0.3225462304409673,879.0,1301.0,5.184519921619856
2,baseline,0.8534229315413692,42859,0.8639725611890151,0.17846805303359736,0.1335863319067772,0.7982382867482379,36640,,,,,,,
2,expgrad_dp,0.8534229315413692,42859,0.817331248979211,0.014121147360989017,0.11519738778025723,0.9843772539891953,38639,0.16434690567260835,-0.11764846666059216,0.3895747599451303,0.3054204308547602,852.0,1335.0,5.455786026200873
2,expgrad_dp_floor,0.8534229315413692,42859,0.8174945752350732,0.014992752297378287,0.11269315655366974,0.9834083426765434,38622,0.16347530073621908,-0.11673524124941531,0.4008133755083597,0.3153713298791019,887.0,1326.0,5.4093886462882095
3,baseline,0.8541629167416651,42859,0.8662591287710866,0.17959776211193723,0.13234321458475518,0.7965750246464118,36560,,,,,,,
3,expgrad_dp,0.8541629167416651,42859,0.8204111155183276,0.01597837336808805,0.11838697758266292,0.982303910644001,38585,0.16361938874384918,-0.12261797660767036,0.3840814437760296,0.29638637943015983,830.0,1331.0,5.538840262582057
3,expgrad_dp_floor,0.8541629167416651,42859,0.8197111458503464,0.01379059644937819,0.12033439725160167,0.984713615089238,38567,0.16580716566255904,-0.11627482162838094,0.3946654611211573,0.3081695966907963,873.0,1339.0,5.489606126914661
4,baseline,0.8532929341413171,42859,0.8647891924683264,0.17339609936721434,0.11838860133447138,0.8032814895023807,36543,,,,,,,
4,expgrad_dp,0.8532929341413171,42859,0.818731188315173,0.006548917633001472,0.13873876702030175,0.9927310634707681,38567,0.16684718173421287,-0.11689169557496683,0.3931314957071848,0.30446735395189,870.0,1343.0,5.538680458637769
4,expgrad_dp_floor,0.8532929341413171,42859,0.8176112368464034,0.004584992076986816,0.13980669956387837,0.9949077491811997,38557,0.16881110729022752,-0.11221667739854614,0.4003535130357932,0.3149659863945578,906.0,1357.0,5.5113154366089265
