seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8238035239295214,42859,0.8666791105718752,0.2110879448928933,0.1581762488771305,0.7541915615971906,35302,,,,,,,
0,expgrad_dp,0.8238035239295214,42859,0.8199444690730069,0.011680079843358171,0.1358048279192937,0.9862685386544974,36373,0.19940786504953512,0.04083386237555918,0.5668595796527566,0.6420454545454546,1861.0,1422.0,3.033822446320322
0,expgrad_dp_floor,0.8238035239295214,42859,0.8187778529597051,0.011400788253232319,0.13344240435064447,0.9865902655807657,36357,0.19968715663966097,0.04287864461178726,0.5700453857791226,0.648216072024008,1884.0,1421.0,2.9884992351708117
1,baseline,0.8252534949301014,42859,0.8664457873492148,0.21202833830624068,0.1648894703123142,0.7542097131146508,35462,,,,,,,
1,expgrad_dp,0.8252534949301014,42859,0.8210410882195105,0.017375986569043933,0.1193945155798084,0.9796078087480463,36396,0.19465235173719675,0.05419403039759984,0.5798961197677971,0.6774861878453039,1898.0,1375.0,2.633805199932322
1,expgrad_dp_floor,0.8252534949301014,42859,0.8215077346648312,0.01670443248095843,0.12337884168401825,0.9803804716706819,36372,0.19532390582528225,0.0574458590088417,0.5791245791245792,0.6824842986741103,1892.0,1375.0,2.5661271219897355
2,baseline,0.8241435171296574,42859,0.8655358267808395,0.2086399733792602,0.15293270324546493,0.757382117963492,35371,,,,,,,
2,expgrad_dp,0.8241435171296574,42859,0.8179145570358618,0.011820509558285841,0.12704806972895433,0.9861034451595769,36372,0.19681946382097437,0.047484096395182925,0.5772976262933658,0.6609078590785907,1897.0,1389.0,2.830001979022363
2,expgrad_dp_floor,0.8241435171296574,42859,0.8189178468933013,0.014759603920146303,0.12450098949631039,0.9827022127337119,36465,0.1938803694591139,0.034493226308445514,0.5676680086714153,0.6341137123745819,1833.0,1396.0,3.0929292358146503
3,baseline,0.8242435151296974,42859,0.8682190438414336,0.21040959683264615,0.15456123610091005,0.7553083800850897,35356,,,,,,,
3,expgrad_dp,0.8242435151296974,42859,0.8222077043328122,0.017386961447151128,0.1297693875514888,0.9795243276700073,36270,0.19302263538549502,0.055666349119672116,0.5849344312290332,0.6842832469775475,1918.0,1361.0,2.585134064939473
3,expgrad_dp_floor,0.8242435151296974,42859,0.8218810518210877,0.013800636124839616,0.1362560505051763,0.9837031742720883,36196,0.19660896070780653,0.0664635185003125,0.5902964959568733,0.7075208913649025,1971.0,1368.0,2.375834370403892
4,baseline,0.8237135257294854,42859,0.86723908630626,0.20688289264371085,0.1472407765935816,0.7584980951396068,35242,,,,,,,
4,expgrad_dp,0.8237135257294854,42859,0.8188011852819711,0.007858645361796923,0.1413102035300725,0.9906839065930308,36098,0.19902424728191392,0.06579753420254447,0.5926686217008797,0.7090414683888511,2021.0,1389.0,2.4289200385903182
4,expgrad_dp_floor,0.8237135257294854,42859,0.8186611913483749,0.006115435489018051,0.14780160242653473,0.9927547345099775,36132,0.2007674571546928,0.06271753066983052,0.5871290038201586,0.6986115814426007,1998.0,1405.0,2.525395834515635
