seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.9228694259462193,5085,0.9089478859390364,0.0017527869312207178,0.12239275875639516,0.9981016502986736,4695,,,,,,,
0,expgrad_dp,0.9228694259462193,5085,0.9089478859390364,0.002150085302297322,0.12377016922471468,0.9976723592662872,4697,-0.00039729837107660426,,,0.0,0.0,0.0,0.042598509052183174
0,expgrad_dp_floor,0.9228694259462193,5085,0.9087512291052114,0.016265862721727586,0.014954742227469509,1.0175864160097028,4704,0.018018649652948304,-0.08819714656290058,0.75,0.25,3.0,1.0,0.19169329073482427
1,baseline,0.9226165388181742,5085,0.9105211406096362,0.0041365771576807875,0.019086973632428172,0.9955314314567028,4707,,,,,,,
1,expgrad_dp,0.9226165388181742,5085,0.9099311701081613,0.016265862721727586,0.1633215269578906,1.0175864160097028,4704,0.020402439879408374,0.03894616265750624,0.8333333333333334,2.5,5.0,1.0,-0.06373486297004462
1,expgrad_dp_floor,0.9226165388181742,5085,0.9105211406096362,0.0041365771576807875,0.019086973632428172,0.9955314314567028,4707,0.0,,,,0.0,0.0,0.0
2,baseline,0.922363651690129,5085,0.9059980334316617,0.022552525181705585,0.13616686343959078,0.9756060567759549,4700,,,,,,,
2,expgrad_dp,0.922363651690129,5085,0.9059980334316617,0.022552525181705585,0.13616686343959078,0.9756060567759549,4700,0.0,,,,0.0,0.0,0.0
2,expgrad_dp_floor,0.922363651690129,5085,0.9059980334316617,0.022552525181705585,0.13616686343959078,0.9756060567759549,4700,0.0,,,,0.0,0.0,0.0
3,baseline,0.9241338615864453,5085,0.9087512291052114,0.01818224309986205,0.11137347500983868,0.9802397642995022,4678,,,,,,,
3,expgrad_dp,0.9241338615864453,5085,0.9087512291052114,0.01818224309986205,0.11137347500983868,0.9802397642995022,4678,0.0,,,,0.0,0.0,0.0
3,expgrad_dp_floor,0.9241338615864453,5085,0.9087512291052114,0.01818224309986205,0.11137347500983868,0.9802397642995022,4678,0.0,,,,0.0,0.0,0.0
4,baseline,0.9229537216555678,5085,0.9091445427728614,0.020963331697398835,0.11963793781975601,0.9772859638905067,4692,,,,,,,
4,expgrad_dp,0.9229537216555678,5085,0.9087512291052114,0.020963331697398835,0.12101534828807553,0.9772859638905067,4692,0.0,,1.0,1.0,4.0,0.0,0.0
4,expgrad_dp_floor,0.9229537216555678,5085,0.9087512291052114,0.001624249222931029,0.11137347500983868,1.0017655950309297,4678,0.022587580920329864,0.13191929643041722,0.95,3.8,19.0,1.0,-0.29838022165387895
