seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.7919811798431134,55018,0.8449780071976444,0.14845576415186368,0.09914641558041021,0.8164545566545148,43675,,,,,,,
0,expgrad_dp,0.7919811798431134,55018,0.8370896797411757,0.01260757980492122,0.10729979352928165,0.9840874706598531,43521,0.13584818434694246,0.12158963229897049,0.6929627969520394,1.108910891089109,1546.0,685.0,-0.3526044647967945
0,expgrad_dp_floor,0.7919811798431134,55018,0.8454324039405285,0.011926522324779087,0.12290110199123183,0.9861986840598876,47478,0.1365292418270846,-0.40530078582676055,0.025570776255707764,0.007567849686847599,28.0,1067.0,8.707498568975387
1,baseline,0.7916072694413935,55018,0.8442146206695991,0.15599740901080505,0.10578030789884818,0.8067390395869145,43543,,,,,,,
1,expgrad_dp,0.7916072694413935,55018,0.8349085753753317,0.01336697479712523,0.10576600357398791,0.9830489870932364,43311,0.14263043421367982,0.13054966229801648,0.6955593509820666,1.163265306122449,1629.0,713.0,-0.5328066508968147
1,expgrad_dp_floor,0.7916072694413935,55018,0.8429059580500927,0.010734677192829611,0.1254865214882359,0.9875086198816229,47221,0.14526273181797544,-0.3592213363511194,0.03852889667250438,0.012087026591458501,44.0,1098.0,8.44682268102795
2,baseline,0.7917786450421818,55018,0.8445054345850449,0.15279021420957462,0.0967602971950266,0.8105510121271972,43523,,,,,,,
2,expgrad_dp,0.7917786450421818,55018,0.8359082482096768,0.019437666207034243,0.0993020187240124,0.9753827718363249,43334,0.13335254800254037,0.12674571510200194,0.6991031390134529,1.1355810616929698,1559.0,671.0,-0.4342531535050433
2,expgrad_dp_floor,0.7917786450421818,55018,0.8454142280708132,0.018360146974097824,0.11069044185012833,0.9786949069880861,47311,0.1344300672354768,-0.4111785221516784,0.027675276752767528,0.00785751702462022,30.0,1054.0,8.703444155963513
3,baseline,0.7901038380344777,55018,0.8462321422080047,0.1444857319909818,0.09079408540589046,0.8199180225340068,43340,,,,,,,
3,expgrad_dp,0.7901038380344777,55018,0.8367079864771529,0.009719433516443998,0.11303547891228516,0.9876342665177263,43190,0.1347662984745378,0.12121556428789804,0.6967249887842082,1.1055594651653764,1553.0,676.0,-0.34610059990770653
3,expgrad_dp_floor,0.7901038380344777,55018,0.8381257043149515,0.008349567771103295,0.1126699336349104,0.9894144071078508,43350,0.1361361642198785,0.09965000786652356,0.6764295676429568,0.9932432432432432,1455.0,696.0,0.023073373327180433
4,baseline,0.7923317208447259,55018,0.8457232178559744,0.15624346914484522,0.1017511110273785,0.8070094278582975,43674,,,,,,,
4,expgrad_dp,0.7923317208447259,55018,0.8340724853684249,0.016391716845904125,0.11050239231111142,0.979273810045705,43421,0.1398517522989411,0.13386634358137306,0.6963824289405685,1.1812320916905443,1617.0,705.0,-0.5792920272931263
4,expgrad_dp_floor,0.7923317208447259,55018,0.8441964447998836,0.0106079500377263,0.13494647740300447,0.9876205543420626,47086,0.14563551910711892,-0.32484551583140364,0.054673721340388004,0.017846862406447898,62.0,1072.0,7.812428447131016
