seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5280321643958008,3838,0.7754038561750912,0.24261495857600812,0.15751196172248805,0.5427303597278028,1990,,,,,,,
0,expgrad_dp,0.5280321643958008,3838,0.7571651902032308,0.026320134026819764,0.18080330057031913,1.0497870999978276,2034,0.2689350926028279,0.00713698527763266,0.6923076923076923,0.7283950617283951,117.0,52.0,2.2110552763819094
0,expgrad_dp_floor,0.5280321643958008,3838,0.7519541427826993,0.009216497242946597,0.17217917381732456,1.0175614239524693,2016,0.2518314558189547,0.022865123703112722,0.7473684210526316,0.8461538461538461,142.0,48.0,1.306532663316583
1,baseline,0.5304891668528032,3838,0.7858259510161543,0.26238305312980476,0.14528138528138534,0.5186564412653935,2042,,,,,,,
1,expgrad_dp,0.5304891668528032,3838,0.7717561229807192,0.06345601419512847,0.07690640872293586,0.8824661839666665,2060,0.19892703893467628,0.02618930777668735,0.7484276729559748,0.8714285714285714,119.0,40.0,0.881488736532811
1,expgrad_dp_floor,0.5304891668528032,3838,0.7743616466909848,0.027106838152853086,0.13155476970547958,0.9493292471842875,2048,0.23527621497695167,0.04312091184223402,0.735632183908046,0.9562043795620438,128.0,46.0,0.2938295788442703
2,baseline,0.531047576502122,3838,0.7787910369984367,0.2142175236908483,0.1089933607225198,0.5985347847376549,2007,,,,,,,
2,expgrad_dp,0.531047576502122,3838,0.7665450755601876,0.012558554187117932,0.14813562847781994,1.0236087871754738,2044,0.22677607787796622,0.0072546797748901,0.7486033519553073,0.7861271676300579,134.0,45.0,1.8435475834578974
2,expgrad_dp_floor,0.531047576502122,3838,0.7657634184471078,0.0025223342143079197,0.1312947457832787,0.9953889960503354,2099,0.21169518947654037,-0.06346719832906068,0.7058823529411765,0.5445544554455446,108.0,45.0,4.58395615346288
3,baseline,0.5287022559749832,3838,0.778009379885357,0.1973622442314346,0.09705826269350115,0.6364746945898778,2046,,,,,,,
3,expgrad_dp,0.5287022559749832,3838,0.7618551328817093,0.022533043726680635,0.1462201189176071,1.0415040456925273,2088,0.21989528795811525,0.0,0.7558139534883721,0.7558139534883721,130.0,42.0,2.0527859237536656
3,expgrad_dp_floor,0.5287022559749832,3838,0.7621156852527358,0.021296999470266753,0.10668489405331516,0.9605334567743583,2067,0.17606524476116786,0.018688388248819538,0.7965116279069767,0.86875,137.0,35.0,1.0263929618768328
4,baseline,0.5316059861514407,3838,0.7813965607087024,0.23897286301442622,0.11480056165167196,0.5596088775070174,2037,,,,,,,
4,expgrad_dp,0.5316059861514407,3838,0.7699322563835331,0.0007422007904366312,0.13501936659831393,1.0013782109382496,2067,0.23971506380486285,0.017157743442328243,0.7415730337078652,0.8159509202453987,132.0,46.0,1.4727540500736378
4,expgrad_dp_floor,0.5316059861514407,3838,0.7675872850442939,0.022693829971417334,0.10512645249487351,0.9576436039376873,2052,0.21627903304300888,0.03169493212970031,0.7722222222222223,0.9032258064516129,139.0,41.0,0.7363770250368189
