seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.4980984754148016,12735,0.7663133097762073,0.16462270844668175,0.06195893537909261,0.6744542871393205,6241,,,,,,,
0,expgrad_dp,0.4980984754148016,12735,0.7396937573616019,0.04616888537536695,0.10927418970885694,0.910012049083217,6478,0.1184538230713148,-0.062252034649671946,0.7780713342140027,0.7185273159144893,589.0,168.0,3.7974683544303796
0,expgrad_dp_floor,0.4980984754148016,12735,0.7404004711425206,0.04742313899356371,0.1131108895348758,0.9079409694882438,6503,0.11719956945311805,-0.08068339952167955,0.7763157894736842,0.6985040276179517,590.0,170.0,4.198045185066496
1,baseline,0.4997812405344462,12735,0.7629367883784844,0.15100868849812443,0.059404573569280306,0.7040671281336484,6316,,,,,,,
1,expgrad_dp,0.4997812405344462,12735,0.7334903808402041,0.01935378325693149,0.10257203759299294,0.9618843226375108,6443,0.13165490524119294,0.019109294780181595,0.7964285714285714,0.843403205918619,669.0,171.0,2.01076630778974
1,expgrad_dp_floor,0.4997812405344462,12735,0.7357675696898311,0.029580205299736817,0.09377843857675505,0.9420609980475674,6466,0.12142848319838762,-0.002143307044702737,0.8019323671497585,0.8194945848375451,664.0,164.0,2.374920835972134
2,baseline,0.49570894894490625,12735,0.765135453474676,0.16318338688837092,0.0607088797604326,0.6836503698852587,6372,,,,,,,
2,expgrad_dp,0.49570894894490625,12735,0.7365528072241854,0.022184238330162864,0.1021986378049261,0.9563398130046462,6444,0.14099914855820805,0.05475921622077314,0.8104366347177849,0.9152941176470588,761.0,178.0,1.1299435028248588
2,expgrad_dp_floor,0.49570894894490625,12735,0.7380447585394582,0.020000766987039342,0.09138704758432781,0.9607242178774101,6461,0.14318261990133158,0.04604759943885046,0.8038585209003215,0.8961493582263711,750.0,183.0,1.396735718769617
3,baseline,0.4937232861037256,12735,0.7625441696113074,0.16681659300335466,0.08810330591440774,0.674196057683892,6319,,,,,,,
3,expgrad_dp,0.4937232861037256,12735,0.7366313309776207,0.039441877607253206,0.0764891442003327,0.9222294691791297,6411,0.12737471539610146,0.038140686631590794,0.7988372093023256,0.8855721393034826,687.0,173.0,1.4559265706599145
3,expgrad_dp_floor,0.4937232861037256,12735,0.7374165685119749,0.02323259758114693,0.09116259962428763,0.9542218543046358,6435,0.14358399542220773,0.03141817949015516,0.7872105843439912,0.8643274853801169,714.0,193.0,1.835733502136414
4,baseline,0.4992764109985528,12735,0.7607381232822928,0.1462769960765884,0.08474066738580699,0.7111298725758378,6272,,,,,,,
4,expgrad_dp,0.4992764109985528,12735,0.7351393796623479,0.005833841306647214,0.09138704758432781,0.9885790270479412,6498,0.14044315476994118,-0.031503101067336094,0.7786606129398411,0.7575107296137339,686.0,195.0,3.6033163265306123
4,expgrad_dp_floor,0.4992764109985528,12735,0.7355319984295249,0.006835161558494729,0.09078919983622102,0.9866232755034349,6499,0.13944183451809367,-0.03297360937005948,0.7807909604519774,0.7579957356076759,691.0,194.0,3.6192602040816326
