seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8709199728512371,6947,0.8163235929178062,0.13574035823711794,0.13159831073352002,0.8463020390383539,6109,,,,,,,
0,expgrad_dp,0.8709199728512371,6947,0.7842234057866705,0.0067209533449050785,0.09639083146289729,1.0076835276685532,6078,0.14246131158202302,0.059249019481771636,0.8966666666666666,1.1275720164609053,269.0,31.0,-0.5074480275004092
0,expgrad_dp_floor,0.8709199728512371,6947,0.78235209442925,0.014216667353646573,0.1092705608834641,1.0162006673370192,6099,0.14995702559076451,0.03752494197173872,0.8925081433224755,1.037174721189591,274.0,33.0,-0.1636929120969062
1,baseline,0.8750539890170914,6947,0.8225133151000432,0.18711042514896015,0.2076709516654609,0.7868494094077382,6062,,,,,,,
1,expgrad_dp,0.8750539890170914,6947,0.7980423204260833,0.062157941258638716,0.04095660862456407,0.9282474226804124,6006,0.12495248389032143,0.0924385148260823,0.9148148148148149,1.2916666666666667,247.0,23.0,-0.9237875288683602
1,expgrad_dp_floor,0.8750539890170914,6947,0.798330214481071,0.058716935275807236,0.028790673243630716,0.9335374683343067,6126,0.1283934898731529,-0.04382721187115828,0.87,0.7310924369747899,174.0,26.0,1.0557571758495545
2,baseline,0.8754241994200037,6947,0.8212177918525982,0.1940702948365064,0.22377215925603022,0.7806599663546564,6109,,,,,,,
2,expgrad_dp,0.8754241994200037,6947,0.7886857636389809,0.06413949661166252,0.034366555986322656,0.9269957828048951,6091,0.12993079822484388,0.047867465632710125,0.9029850746268657,1.079646017699115,242.0,26.0,-0.2946472417744312
2,expgrad_dp_floor,0.8754241994200037,6947,0.7873902403915359,0.0424843635741885,0.04015884237007661,0.9515867520728156,6088,0.1515859312623179,0.04786746563271011,0.8936170212765957,1.090128755364807,252.0,30.0,-0.343755115403503
3,baseline,0.8760412167581909,6947,0.8222254210450555,0.1384974375649768,0.0932435524062154,0.8418276347241184,6056,,,,,,,
3,expgrad_dp,0.8760412167581909,6947,0.7862386641715848,0.019172082358203557,0.05527833942384397,0.9779552065103101,6038,0.11932535520677323,0.04963985517444306,0.9114391143911439,1.077922077922078,247.0,24.0,-0.29722589167767505
3,expgrad_dp_floor,0.8760412167581909,6947,0.789693392831438,0.003588325005610349,0.09656396272731205,0.9958977554151199,6076,0.13490911255936644,0.006585870930508576,0.8879668049792531,0.9148936170212766,214.0,27.0,0.33025099075297226
4,baseline,0.8737582526068982,6947,0.8192025334676839,0.19170097749606518,0.23452484742807322,0.7827560494997603,6093,,,,,,,
4,expgrad_dp,0.8737582526068982,6947,0.7891176047214625,0.025687705044417086,0.04966094934184284,0.9706829352433752,6082,0.1660132724516481,0.03746361918424237,0.8763636363636363,1.0472103004291846,241.0,34.0,-0.18053504021007713
4,expgrad_dp_floor,0.8737582526068982,6947,0.7898373398589319,0.048527496752111654,0.048065416832868024,0.9447562060743409,6093,0.14317348074395353,0.027925723333813397,0.8823529411764706,1.0,225.0,30.0,0.0
