seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8935737599657553,8010,0.8471910112359551,0.2475574422208746,0.22551291631589404,0.7232808616404308,7128,,,,,,,
0,expgrad_dp,0.8935737599657553,8010,0.8454431960049937,0.09680389910832599,0.047805976219979396,0.8925267436351396,7200,0.15075354311254863,-0.04052443384982081,0.5102040816326531,0.25773195876288657,25.0,24.0,1.0101010101010102
0,expgrad_dp_floor,0.8935737599657553,8010,0.8458177278401997,0.09693117414969044,0.047134384547716124,0.8924006449146485,7201,0.15062626807118418,-0.0414036482926587,0.5102040816326531,0.25510204081632654,25.0,24.0,1.0241301907968574
1,baseline,0.8949649526459414,8010,0.847565543071161,0.1833434404689711,0.171861254835933,0.7953211975327216,7147,,,,,,,
1,expgrad_dp,0.8949649526459414,8010,0.8450686641697878,0.04154407085476419,0.07156707876540647,0.9540588649252805,7237,0.14179936961420692,-0.06013727560718052,0.640625,0.31297709923664124,41.0,23.0,1.2592696236183014
1,expgrad_dp_floor,0.8949649526459414,8010,0.8440699126092385,0.019518001931585927,0.11852174159800977,0.9783583204662051,7221,0.16382543853738518,-0.03729092404716169,0.717391304347826,0.4714285714285714,66.0,26.0,1.0353994683083811
2,baseline,0.8889721226389855,8010,0.849438202247191,0.15910877523976363,0.1141800433223924,0.8227537718617861,7166,,,,,,,
2,expgrad_dp,0.8889721226389855,8010,0.8454431960049937,0.004492060283448951,0.13863165561535762,0.9950443530402895,7260,0.15461671495631468,-0.056798373038930906,0.576271186440678,0.265625,34.0,25.0,1.3117499302260676
2,expgrad_dp_floor,0.8889721226389855,8010,0.8433208489388264,0.003316637842613157,0.15070138764082142,1.0036640640508172,7251,0.1624254130823768,-0.04623185065683377,0.6666666666666666,0.3795620437956204,52.0,26.0,1.1861568518001675
3,baseline,0.8922895821071218,8010,0.847565543071161,0.12591993651221467,0.10479667798598169,0.8596463411581117,7167,,,,,,,
3,expgrad_dp,0.8922895821071218,8010,0.8406991260923845,0.01217348336814672,0.10842894843878581,0.9865871464277761,7268,0.11374645314406795,-0.09175278088593349,0.6545454545454545,0.26277372262773724,36.0,19.0,1.4092367796846659
3,expgrad_dp_floor,0.8922895821071218,8010,0.8408239700374532,0.012046208326782382,0.10910054011104908,0.9867255176965597,7267,0.11387372818543229,-0.09053254437869787,0.6607142857142857,0.27007299270072993,37.0,19.0,1.3952839402818473
4,baseline,0.8907378671946065,8010,0.8451935081148564,0.19450621027334192,0.14302064907916273,0.7823956579641681,7130,,,,,,,
4,expgrad_dp,0.8907378671946065,8010,0.8405742821473159,0.0068803390008160825,0.167472261372128,1.0076311156873816,7223,0.201386549274158,-0.03855161901929419,0.5733333333333334,0.3161764705882353,43.0,32.0,1.3043478260869565
4,expgrad_dp_floor,0.8907378671946065,8010,0.8398252184769038,0.013034461589141122,0.17887040172532842,1.014450651150823,7227,0.20754067186248304,-0.03924822336856551,0.5657894736842105,0.30714285714285716,43.0,33.0,1.3604488078541375
