seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8921557871640153,3907,0.8891732787304838,0.016941616941616888,0.02144433932513401,1.0189896658448303,3486,,,,,,,
0,expgrad_dp,0.8921557871640153,3907,0.8881494753007423,0.018486018486018496,0.023021128981393857,1.0207566999474513,3480,0.001544401544401608,1.0,1.0,1.6666666666666667,15.0,0.0,-0.1721170395869191
0,expgrad_dp_floor,0.8921557871640153,3907,0.8876375735858715,0.015912015912015853,0.021759697256386046,1.0178150379879485,3490,-0.001029601029601035,,1.0,0.6923076923076923,9.0,0.0,0.11474469305794607
1,baseline,0.892375205704882,3907,0.881750703864858,0.0336609336609337,0.2093837535014006,0.962486308871851,3505,,,,,,,
1,expgrad_dp,0.892375205704882,3907,0.881750703864858,0.03314613314613313,0.21078431372549022,0.963038826844797,3503,0.000514800514800573,1.0,1.0,3.0,3.0,0.0,-0.05706134094151213
1,expgrad_dp_floor,0.892375205704882,3907,0.8814947530074225,0.033918333918333876,0.20798319327731096,0.9622102875615924,3506,-0.00025740025740017547,,,0.0,0.0,0.0,0.028530670470756064
2,baseline,0.8925946242457488,3907,0.882518556437164,0.022089622089622063,0.23879551820728295,1.0249037091753284,3466,,,,,,,
2,expgrad_dp,0.8925946242457488,3907,0.881750703864858,0.02234702234702235,0.23739495798319332,1.0252012138804592,3465,0.0002574002574002865,1.0,1.0,1.1666666666666667,7.0,0.0,-0.028851702250432775
2,expgrad_dp_floor,0.8925946242457488,3907,0.882518556437164,0.023622323622323638,0.23879551820728295,0.9733760582324551,3466,-0.0457119457119457,,1.0,1.0,7.0,0.0,0.0
3,baseline,0.8935820076796489,3907,0.8812388021499872,0.05982215982215988,0.4649859943977591,1.066861073334031,3497,,,,,,,
3,expgrad_dp,0.8935820076796489,3907,0.8799590478628103,0.06059436059436063,0.4635854341736695,1.067782634871607,3494,0.0007722007722007485,1.0,1.0,1.2142857142857142,17.0,0.0,-0.08578781812982557
3,expgrad_dp_floor,0.8935820076796489,3907,0.8812388021499872,0.05982215982215988,0.4649859943977591,1.066861073334031,3497,0.0,,,,0.0,0.0,0.0
4,baseline,0.8933625891387822,3907,0.8855899667263886,0.10476190476190472,0.47478991596638653,1.1170212765957446,3500,,,,,,,
4,expgrad_dp,0.8933625891387822,3907,0.8848221141540824,0.10296010296010294,0.4677871148459384,1.114777618364419,3507,-0.0018018018018017834,,1.0,0.5882352941176471,10.0,0.0,0.2
4,expgrad_dp_floor,0.8933625891387822,3907,0.8855899667263886,0.10476190476190472,0.47478991596638653,1.1170212765957446,3500,0.0,,,,0.0,0.0,0.0
