seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5743333333333334,18000,0.7133888888888889,0.06506184574148444,0.017277537459728598,0.8916256808085267,10430,,,,,,,
0,expgrad_dp,0.5743333333333334,18000,0.7056111111111111,0.0096703385555581,0.056930655697886356,0.9841958003649266,10958,0.055391507185926336,-0.20834151098462936,0.2551984877126654,0.21194029850746268,135.0,394.0,5.062320230105465
0,expgrad_dp_floor,0.5743333333333334,18000,0.7052777777777778,0.008275579820282042,0.057893156634892806,0.9863085938734996,10832,0.056786265921202395,-0.07206536186234262,0.32710280373831774,0.3128205128205128,175.0,360.0,3.8542665388302972
1,baseline,0.5793571428571429,18000,0.7083333333333334,0.07700658718170683,0.030885773318987897,0.8733010392962437,10495,,,,,,,
1,expgrad_dp,0.5793571428571429,18000,0.7042777777777778,0.032422804013720774,0.02741733749262648,0.9473915246428101,10906,0.04458378316798606,-0.1909221430798496,0.24821002386634844,0.21414913957934992,104.0,315.0,3.9161505478799428
1,expgrad_dp_floor,0.5793571428571429,18000,0.7029444444444445,0.031823578109631656,0.028148997131634657,0.9482263012858216,10880,0.045183009072075175,-0.1521612316059571,0.28205128205128205,0.24951267056530213,121.0,308.0,3.668413530252501
2,baseline,0.579047619047619,18000,0.7056666666666667,0.06663397149410522,0.03488895381346385,0.8895190848534431,10471,,,,,,,
2,expgrad_dp,0.579047619047619,18000,0.7033888888888888,0.018924452068977082,0.0316087346410352,0.9687584170546194,10794,0.04770951942512813,-0.054896520130760997,0.35268817204301073,0.3501006036217304,164.0,301.0,3.084710151847961
2,expgrad_dp_floor,0.579047619047619,18000,0.7023333333333334,0.022301616335861807,0.02681927315738475,0.9631782231903298,10773,0.04433235515824341,-0.05723224332308493,0.35172413793103446,0.351931330472103,153.0,282.0,2.8841562410467003
3,baseline,0.5772857142857143,18000,0.7065,0.058216413127616606,0.020625862558535157,0.9030678474252903,10474,,,,,,,
3,expgrad_dp,0.5772857142857143,18000,0.7011111111111111,0.001294227166466655,0.07298253578967195,0.9978573350244052,10865,0.05692218596114995,-0.060390357397399834,0.3206831119544592,0.31282952548330406,169.0,358.0,3.733053274775635
3,expgrad_dp_floor,0.5772857142857143,18000,0.7011666666666667,0.0006437870669463441,0.07676777683275143,1.001067416255116,10860,0.05886020019456295,-0.043106209783779964,0.3321100917431193,0.3298611111111111,181.0,364.0,3.6853160206224937
4,baseline,0.5765,18000,0.7045555555555556,0.06252902208518041,0.019332131702666788,0.8945798824566394,10315,,,,,,,
4,expgrad_dp,0.5765,18000,0.7003888888888888,0.008496290637076798,0.06512048909218582,0.9858880262365682,10788,0.05403273144810361,-0.16510850867959367,0.3154121863799283,0.2908545727136432,176.0,382.0,4.585555016965584
4,expgrad_dp_floor,0.5765,18000,0.6998888888888889,0.004233961619306226,0.06737473449277553,0.9928824239041437,10683,0.05829506046587418,-0.0294840688607513,0.37777777777777777,0.3927392739273927,221.0,364.0,3.5676199709161414
