seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.608547619047619,18000,0.6765555555555556,0.027505698892201447,0.024983271993468947,0.955879069988363,11052,,,,,,,
0,expgrad_dp,0.608547619047619,18000,0.6755555555555556,0.011639607930035045,0.036734533359667365,0.9812963650501215,11130,0.0158660909621664,0.06921417980860034,0.3881578947368421,0.43884892086330934,59.0,93.0,0.7057546145494028
0,expgrad_dp_floor,0.608547619047619,18000,0.676,0.01102830437455471,0.037306206934056396,0.9822473392458555,11114,0.016477394517646737,0.13329273284546328,0.42948717948717946,0.5230769230769231,67.0,89.0,0.5609844372059356
1,baseline,0.6046190476190476,18000,0.6819444444444445,0.03479092053004429,0.016100363840222842,0.943781747579216,10925,,,,,,,
1,expgrad_dp,0.6046190476190476,18000,0.6802222222222222,0.013051396711825092,0.03729018872528489,0.9789161525280314,11062,0.021739523818219197,-0.007771442408465349,0.33980582524271846,0.34134615384615385,70.0,136.0,1.2540045766590389
1,expgrad_dp_floor,0.6046190476190476,18000,0.6792777777777778,0.016781812501881488,0.03378323600615257,0.9727970564977033,11001,0.0180091080281628,0.10788406379597167,0.42528735632183906,0.4966887417218543,74.0,100.0,0.6956521739130435
2,baseline,0.6095238095238096,18000,0.675,0.016743729409014585,0.038467343394768205,0.9731746828063453,11132,,,,,,,
2,expgrad_dp,0.6095238095238096,18000,0.6717777777777778,0.002565796973849954,0.06194450141617036,1.0041375704367845,11178,0.01930952638286454,0.2099864541357518,0.4787234042553192,0.6714285714285714,90.0,98.0,0.4132231404958678
2,expgrad_dp_floor,0.6095238095238096,18000,0.6724444444444444,0.0014743009860641587,0.0616478535372027,1.002373881266734,11188,0.018218030395078744,0.17156234197789752,0.4581005586592179,0.6056338028169014,82.0,97.0,0.5030542579949695
3,baseline,0.6129285714285714,18000,0.6763888888888889,0.031409832807819504,0.02519601218480705,0.9487908551468163,10847,,,,,,,
3,expgrad_dp,0.6129285714285714,18000,0.6746666666666666,0.016899845413899106,0.04055803381712286,0.9723711683455686,10906,0.014509987393920398,0.11643528884907946,0.4084507042253521,0.5163934426229508,58.0,84.0,0.543929197012999
3,expgrad_dp_floor,0.6129285714285714,18000,0.6753333333333333,0.016393003041876852,0.04090750352457023,0.9731775577042518,10900,0.015016829765942652,0.1462570315880522,0.4533333333333333,0.5725806451612904,68.0,82.0,0.4886143634184567
4,baseline,0.6086428571428572,18000,0.6788333333333333,0.03130060095614062,0.019216360599303484,0.9495868688273752,10983,,,,,,,
4,expgrad_dp,0.6086428571428572,18000,0.6757777777777778,0.012544554339802838,0.04323399255016125,0.9797183236445526,11056,0.018756046616337785,0.12610676712172564,0.3941176470588235,0.4859154929577465,67.0,103.0,0.6646635709733224
4,expgrad_dp_floor,0.6086428571428572,18000,0.676,0.013700536601471303,0.041427694362115464,0.9778675010523721,11058,0.01760006435466932,0.105591774740042,0.389937106918239,0.45255474452554745,62.0,97.0,0.6828735318219066
