seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,6240,0.6453525641025641,0.37236919748229746,0.3315988282788074,0.39083742257260073,3445,,,,,,,
0,expgrad_eo,,6240,0.1371794871794872,0.009017260031471283,0.008401085183438402,0.7199847299102882,192,0.36335193745082617,1.5937103513609525,0.9960681520314548,251.23076923076923,3040.0,12.0,-94.4267053701016
1,baseline,,6240,0.6431089743589744,0.38408487411487013,0.34151547799849713,0.3712796570945606,3431,,,,,,,
1,expgrad_eo,,6240,0.13846153846153847,0.010867427222659327,0.03395113361215056,0.6900420757363253,208,0.3732174468922108,1.5429032576830595,0.9947351102336295,190.58823529411765,3023.0,16.0,-93.93762751384436
2,baseline,,6240,0.6496794871794872,0.38160159323367426,0.3457581356306223,0.3799860181763707,3462,,,,,,,
2,expgrad_eo,,6240,0.13830128205128206,0.0003810975609756101,0.01576931543033238,0.9879518072289156,197,0.38122049567269867,1.5315059658174783,0.9961013645224172,234.21428571428572,3066.0,12.0,-94.30964760254189
3,baseline,,6240,0.6453525641025641,0.3864267800944138,0.34518525569742947,0.36882423220184135,3437,,,,,,,
3,expgrad_eo,,6240,0.13782051282051283,0.008691483084185679,0.009702839533348008,0.7184388689765034,184,0.3777352970102281,1.539078645468895,0.9977109221713538,465.7142857142857,3051.0,7.0,-94.64649403549608
4,baseline,,6240,0.6594551282051282,0.3712136113296617,0.3267576178463926,0.40533301823624407,3527,,,,,,,
4,expgrad_eo,,6240,0.14006410256410257,0.016479396144767896,0.02424829407880255,0.5375194065896154,206,0.3547342151848938,1.659285058307775,0.9970967741935484,302.90909090909093,3091.0,9.0,-94.15934221718175
