seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,6240,0.5089743589743589,0.30779774783634933,0.2877374559919462,0.32498011673833627,2540,,,,,,,
0,expgrad_eo,,6240,0.12980769230769232,0.00995156372934697,0.0120599014334979,0.5683817648627033,134,0.29784618410700237,1.453524847284134,0.9969284774023695,344.7142857142857,2272.0,7.0,-94.7244094488189
1,baseline,,6240,0.5019230769230769,0.3106928599527931,0.2920167479400409,0.30616334934797523,2486,,,,,,,
1,expgrad_eo,,6240,0.1294871794871795,0.007062598347757673,0.03152102135152982,0.7081534163068325,144,0.3036302616050354,1.3950847217442355,0.9950760966875559,213.9090909090909,2223.0,11.0,-94.20756234915527
2,baseline,,6240,0.502724358974359,0.3081050845790716,0.29243039840539764,0.3110628530588122,2485,,,,,,,
2,expgrad_eo,,6240,0.12724358974358974,0.0012354937057435095,0.03030596522121946,0.9394030750678324,126,0.3068695908733281,1.3909141895681434,0.9942299156679982,182.46153846153845,2240.0,13.0,-94.92957746478874
3,baseline,,6240,0.5057692307692307,0.3057324449252557,0.28675092559339665,0.3204219097976527,2504,,,,,,,
3,expgrad_eo,,6240,0.13044871794871796,0.010769079464988198,0.010665201294027886,0.5290322580645161,132,0.2949633654602675,1.4477045866588867,0.9986636971046771,594.0,2242.0,3.0,-94.72843450479233
4,baseline,,6240,0.5192307692307693,0.32435090479937057,0.3077940228373134,0.3091746962714705,2608,,,,,,,
4,expgrad_eo,,6240,0.12980769230769232,0.013547403619197483,0.0168644775499431,0.4266389177939646,134,0.3108035011801731,1.434617514437149,0.997867803837953,495.8,2340.0,5.0,-94.86196319018404
