seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.13106195906031048,6240,0.23477564102564102,0.11122516719118805,0.11028169481307123,0.22482114552542515,785,,,,,,,
0,expgrad_dp,0.13106195906031048,6240,0.12419871794871795,0.012545485837922896,0.015204394964079621,0.24323322209862808,91,0.09867968135326516,1.2860346331132428,0.9970059880239521,348.0,666.0,2.0,-88.40764331210191
0,expgrad_dp_floor,0.13106195906031048,6240,0.8897435897435897,0.0,0.0,1.0,6240,0.11122516719118805,-7.7007460624481885,0.0,0.0,0.0,960.0,694.9044585987261
1,baseline,0.1316801758483308,6240,0.23012820512820512,0.11289093233674272,0.11389291529828842,0.18842244807777286,756,,,,,,,
1,expgrad_dp,0.1316801758483308,6240,0.125,0.013498229740361922,0.014636995755323155,0.23001402524544176,96,0.09939270259638079,1.2231292517006804,0.996875,331.0,638.0,2.0,-87.3015873015873
1,expgrad_dp_floor,0.1316801758483308,6240,0.8897435897435897,0.0,0.0,1.0,6240,0.11289093233674272,-7.62593923554394,0.0,0.0,0.0,966.0,725.3968253968254
2,baseline,0.12261299629069927,6240,0.22596153846153846,0.09676804681353265,0.09389490566663637,0.267188009123493,728,,,,,,,
2,expgrad_dp,0.12261299629069927,6240,0.12419871794871795,0.010529356805664832,0.010606644080312803,0.3648498331479421,93,0.08623869000786782,1.3389878831076265,0.9983525535420099,636.0,606.0,1.0,-87.22527472527473
2,expgrad_dp_floor,0.12261299629069927,6240,0.8897435897435897,0.0,0.0,1.0,6240,0.09676804681353265,-8.96938321793813,0.0,0.0,0.0,957.0,757.1428571428571
3,baseline,0.12130787196043412,6240,0.23349358974358975,0.10931967938630999,0.10842026771896576,0.22784700212738246,775,,,,,,,
3,expgrad_dp,0.12130787196043412,6240,0.12804487179487178,0.01434033241542093,0.013555273827088913,0.29665360265299967,113,0.09497934697088906,1.275951333160756,0.9984301412872841,663.0,636.0,1.0,-85.41935483870968
3,expgrad_dp_floor,0.12130787196043412,6240,0.8897435897435897,0.0,0.0,1.0,6240,0.10931967938630999,-7.85240371099241,0.0,0.0,0.0,960.0,705.1612903225806
4,baseline,0.13703805467784036,6240,0.24615384615384617,0.12034077498033044,0.11876701007732149,0.23169295973628448,858,,,,,,,
4,expgrad_dp,0.13703805467784036,6240,0.12403846153846154,0.009902389850511409,0.012414994685139593,0.4160927872417542,96,0.11043838512981903,1.264707519341014,0.994572591587517,191.5,733.0,4.0,-88.81118881118881
4,expgrad_dp_floor,0.13703805467784036,6240,0.8897435897435897,0.0,0.0,1.0,6240,0.12034077498033044,-7.008172438451323,0.0,0.0,0.0,956.0,627.2727272727273
