seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,6240,0.23477564102564102,0.11122516719118805,0.11028169481307123,0.22482114552542515,785,,,,,,,
0,postprocess_dp,,6240,0.8931089743589744,0.0023480527143980856,0.10040061633281971,1.002409577756191,6083,0.11357321990558614,-7.316718081939711,0.0,0.0,0.0,937.0,674.9044585987261
1,baseline,,6240,0.23012820512820512,0.11289093233674272,0.11389291529828842,0.18842244807777286,756,,,,,,,
1,postprocess_dp,,6240,0.8924679487179488,0.0009896243115656844,0.08831168831168834,1.0010110080566668,6109,0.1138805566483084,-7.373940735143306,0.0,0.0,0.0,946.0,708.0687830687831
2,baseline,,6240,0.22596153846153846,0.09676804681353265,0.09389490566663637,0.267188009123493,728,,,,,,,
2,postprocess_dp,,6240,0.8939102564102565,0.0010756785995279516,0.07985031917235308,1.0010933878152861,6140,0.0978437254130606,-8.705239351677344,0.0,0.0,0.0,942.0,743.4065934065934
3,baseline,,6240,0.23349358974358975,0.10931967938630999,0.10842026771896576,0.22784700212738246,775,,,,,,,
3,postprocess_dp,,6240,0.8953525641025641,0.0030979543666403986,0.09192163768434958,0.9968320217232797,6099,0.10622172501966959,-7.873329089751747,0.0,0.0,0.0,935.0,686.9677419354839
4,baseline,,6240,0.24615384615384617,0.12034077498033044,0.11876701007732149,0.23169295973628448,858,,,,,,,
4,postprocess_dp,,6240,0.8926282051282052,0.0054152734067662855,0.06890600924499235,0.99445259519057,6086,0.11492550157356415,-7.1311440338022125,0.0,0.0,0.0,927.0,609.3240093240094
