seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6878692128039566,6240,0.7623397435897435,0.41131490952006294,0.34083067590312965,0.453800444038135,4291,,,,,,,
0,expgrad_dp,0.6878692128039566,6240,0.7019230769230769,0.04463758851298183,0.1760950913493286,0.9339373760529812,4172,0.3666773210070811,0.21098333724477825,0.6635514018691588,1.2136445242369838,639.0,324.0,-2.7732463295269167
0,expgrad_dp_floor,0.6878692128039566,6240,0.8897435897435897,0.0,0.0,1.0,6240,0.41131490952006294,-0.6003945244784505,0.0,0.0,0.0,653.0,45.420647867629924
1,baseline,0.6871823052617118,6240,0.7599358974358974,0.41962529504327306,0.3507473256228194,0.44220021570742224,4278,,,,,,,
1,expgrad_dp,0.6871823052617118,6240,0.6395833333333333,0.027561959087332832,0.17485362095531587,0.9544568131957423,3749,0.39206333595594023,0.3752038128684309,0.757527733755943,2.0795918367346937,956.0,306.0,-12.365591397849462
1,expgrad_dp_floor,0.6871823052617118,6240,0.8897435897435897,0.0,0.0,1.0,6240,0.41962529504327306,-0.5903205015527039,0.0,0.0,0.0,662.0,45.862552594670404
2,baseline,0.6860832531941201,6240,0.7644230769230769,0.40224232887490163,0.3350981266018499,0.4658482434373776,4300,,,,,,,
2,expgrad_dp,0.6860832531941201,6240,0.6791666666666667,0.0372000393391031,0.15545674664318732,0.9422408856652033,3982,0.36504228953579854,0.2985788374755844,0.7288288288288288,1.5910780669144982,809.0,301.0,-7.395348837209302
2,expgrad_dp_floor,0.6860832531941201,6240,0.8897435897435897,0.0,0.0,1.0,6240,0.40224232887490163,-0.6139364303178484,0.0,0.0,0.0,644.0,45.116279069767444
3,baseline,0.6850528918807528,6240,0.7690705128205129,0.42095298977183315,0.34910368521026514,0.44660288318572633,4329,,,,,,,
3,expgrad_dp,0.6850528918807528,6240,0.7266025641025641,0.06117845200629435,0.17367378384327536,0.9130142194177641,4328,0.3597745377655388,0.15941979463873823,0.6197674418604651,1.0017889087656529,533.0,327.0,-0.0231000231000231
3,expgrad_dp_floor,0.6850528918807528,6240,0.8897435897435897,0.0,0.0,1.0,6240,0.42095298977183315,-0.5685415571520357,0.0,0.0,0.0,655.0,44.14414414414414
4,baseline,0.6881439758208545,6240,0.774198717948718,0.39909520062942566,0.3360425419599936,0.4810575785670897,4403,,,,,,,
4,expgrad_dp,0.6881439758208545,6240,0.7112179487179487,0.062063581825334446,0.16761611270085847,0.9098006985822888,4232,0.3370316188040912,0.24028378107275072,0.676056338028169,1.3433734939759037,624.0,299.0,-3.8837156484215307
4,expgrad_dp_floor,0.6881439758208545,6240,0.8897435897435897,0.0,0.0,1.0,6240,0.39909520062942566,-0.5786717594874322,0.0,0.0,0.0,625.0,41.72155348625937
