seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,6240,0.9046474358974359,0.009609697246819371,0.023867519198890297,0.9900080826786559,5975,,,,,,,
0,expgrad_eo,,6240,0.9008012820512821,0.0071521763640977065,0.06426130789268925,1.007498974499681,5971,0.016761873610917077,0.47686487293725394,0.5192307692307693,1.0526315789473684,54.0,50.0,-0.06694560669456066
1,baseline,,6240,0.899198717948718,0.012532605540571673,0.06059068304069826,0.9869689174210085,5967,,,,,,,
1,expgrad_eo,,6240,0.8980769230769231,0.0037863051983940688,0.0050576812476741395,0.9960466685216172,5966,0.008746300342177604,0.4569445603825556,0.5094339622641509,1.0256410256410255,27.0,26.0,-0.01675884028825205
2,baseline,,6240,0.8983974358974359,0.010271273299747974,0.03268040190804833,0.9892499939142464,5934,,,,,,,
2,expgrad_eo,,6240,0.8958333333333334,0.0020501243727517604,0.005565140904631449,0.9978440151072503,5928,0.008221148926996213,0.5555809291822108,0.6730769230769231,1.1666666666666667,35.0,17.0,-0.10111223458038422
3,baseline,,6240,0.9003205128205128,0.017373907077507855,0.06375384823573194,0.9819778512015073,5968,,,,,,,
3,expgrad_eo,,6240,0.9004807692307693,0.014153847565910094,0.055448425183531214,0.9852744496515049,5959,0.0032200595115977615,0.8865351601723286,0.75,2.5,12.0,4.0,-0.15080428954423591
4,baseline,,6240,0.8983974358974359,0.016871180201405656,0.06991102540681349,0.9824369259300078,5948,,,,,,,
4,expgrad_eo,,6240,0.8990384615384616,0.010054954722769516,0.05742751784566469,0.989542011165718,5972,0.00681622547863614,-0.1256426735218543,0.4090909090909091,0.48936170212765956,18.0,26.0,0.4034969737726967
