axis,knob,positives_base,n_test,dp_base,pie,exchange,acc_base,selection_rate,state
operating_point,0.02,5640.0,6602.0,0.03705,2.170131,0.554167,0.45156,0.854287,KY
operating_point,0.06,5006.0,6602.0,0.053156,1.131086,0.576726,0.538261,0.758255,KY
operating_point,0.16,4029.6,6602.0,0.075585,-0.908273,1.228492,0.65562,0.61036,KY
operating_point,0.49,1785.2,6602.0,0.082513,-2.476461,1.304186,0.792608,0.270403,KY
operating_point,0.72,678.2,6602.0,0.062043,-1.755256,1.122402,0.75356,0.102726,KY
operating_point,0.87,184.0,6602.0,0.02696,36.850035,0.354123,0.710754,0.02787,KY
income_cutoff,20000.0,5053.6,6602.0,0.050224,0.27662,0.812072,0.841957,0.765465,KY
income_cutoff,30000.0,3994.2,6602.0,0.076718,0.69048,0.808635,0.78761,0.604998,KY
income_cutoff,50000.0,1718.6,6602.0,0.081993,-1.594365,1.187383,0.792881,0.260315,KY
income_cutoff,70000.0,603.6,6602.0,0.067698,-15.739301,1.99548,0.857074,0.091427,KY
