state,threshold,group_ratio,n_test,selection_rate,dp_base,pie_plain,pie_floor,exchange_plain,log_ratio
MS,20000,1.9398216939078745,3957.0,0.7474854687894871,0.12443343199391302,4.504335864050484,4.471012913942499,0.40571305280583225,0.6625960584944554
MS,30000,1.9398216939078745,3957.0,0.5718473591104373,0.20211307401592182,5.762366296852511,5.905332369078453,0.650306015568957,0.6625960584944554
MS,50000,1.9398216939078745,3957.0,0.19797826636340662,0.14736123259520953,-28.046023962257845,0.0015740695622129762,2.651015544146727,0.6625960584944554
MS,70000,1.9398216939078745,3957.0,0.06974981046247157,0.05954320587888816,-62.13292884580058,-2.1818222683213184,17.60580808080808,0.6625960584944554
MS,100000,1.9398216939078745,3957.0,0.017134192570128885,0.01718475326982706,-20.410125913854166,-0.3505011972286206,10.0,0.6625960584944554
AL,20000,3.199245757385292,6681.0,0.7617721897919473,0.12059801017264352,8.143128677746251,7.568833038631918,0.25374465334441376,1.1629150812067814
AL,30000,3.199245757385292,6681.0,0.5908396946564886,0.18317122715075834,8.102155912991794,7.804228028366611,0.5255473863174496,1.1629150812067814
AL,50000,3.199245757385292,6681.0,0.2572968118545128,0.13691622448966986,-15.210016129378905,1.3192424576267148,1.807995551639906,1.1629150812067814
AL,70000,3.199245757385292,6681.0,0.1101631492291573,0.07496731985789412,-19.827641608398032,2.707373614210259,2.1716680108904605,1.1629150812067814
AL,100000,3.199245757385292,6681.0,0.031402484657985334,0.02719308882602156,-8.14732699605074,-2.565297381068455,1.7152313558344414,1.1629150812067814
OR,20000,6.355704697986578,6576.0,0.789507299270073,0.0751099078923434,2.189038508362267,2.6016330038378817,0.4946999790196693,1.8493527872406192
OR,30000,6.355704697986578,6576.0,0.6406021897810219,0.11767361431011385,3.2932309582553003,4.024495621309294,0.5688767956016645,1.8493527872406192
OR,50000,6.355704697986578,6576.0,0.35066909975669097,0.10291536442645913,-2.887101932854636,1.2849780472122148,1.5106595175683792,1.8493527872406192
OR,70000,6.355704697986578,6576.0,0.1633211678832117,0.0372952146068238,-3.0550036838923824,2.1499380593341364,1.6545843563268647,1.8493527872406192
OR,100000,6.355704697986578,6576.0,0.04476885644768856,0.00329842000041298,-1.1684757878116718,0.0,2.9666666666666663,1.8493527872406192
UT,20000,8.518446601941747,4902.0,0.7150958792329661,0.02272619234676146,0.3081919157584735,0.2741471398495988,0.519608636977058,2.142234000502478
UT,30000,8.518446601941747,4902.0,0.5757241942064463,0.11347055842394008,3.091778143735548,3.3260155743193835,0.4229590606180489,2.142234000502478
UT,50000,8.518446601941747,4902.0,0.3141982864137087,0.13454730547668414,-0.7958281789806682,3.2795415493995153,1.0956485006130932,2.142234000502478
UT,70000,8.518446601941747,4902.0,0.15303957568339455,0.08551930792876565,-4.683195246994038,1.5443928544548047,1.452529613676134,2.142234000502478
UT,100000,8.518446601941747,4902.0,0.0470828233374133,0.021366393647604,-1.3329774285503355,1.7533461391593472,1.211619593856436,2.142234000502478
