arm,direction,seed,decile,group,n,base_grant,mitigated_grant,moved
acs:OR@0.87,lift,0,0,priv,301,0.0,0.0,0.0
acs:OR@0.87,lift,0,0,unpriv,357,0.0,0.0,0.0
acs:OR@0.87,lift,0,1,priv,320,0.0,0.0,0.0
acs:OR@0.87,lift,0,1,unpriv,338,0.0,0.0,0.0
acs:OR@0.87,lift,0,2,priv,307,0.0,0.0,0.0
acs:OR@0.87,lift,0,2,unpriv,350,0.0,0.0,0.0
acs:OR@0.87,lift,0,3,priv,303,0.0,0.0,0.0
acs:OR@0.87,lift,0,3,unpriv,355,0.0,0.001727,0.001727
acs:OR@0.87,lift,0,4,priv,325,0.0,0.0,0.0
acs:OR@0.87,lift,0,4,unpriv,332,0.0,0.010462,0.010462
acs:OR@0.87,lift,0,5,priv,340,0.0,0.000601,0.000601
acs:OR@0.87,lift,0,5,unpriv,318,0.0,0.004497,0.004497
acs:OR@0.87,lift,0,6,priv,358,0.0,0.001141,0.001141
acs:OR@0.87,lift,0,6,unpriv,300,0.0,0.007491,0.007491
acs:OR@0.87,lift,0,7,priv,391,0.0,0.005225,0.005225
acs:OR@0.87,lift,0,7,unpriv,266,0.0,0.022275,0.022275
acs:OR@0.87,lift,0,8,priv,367,0.0,0.010577,0.010577
acs:OR@0.87,lift,0,8,unpriv,291,0.0,0.046339,0.046339
acs:OR@0.87,lift,0,9,priv,424,0.544811,0.491426,-0.053386
acs:OR@0.87,lift,0,9,unpriv,233,0.48927,0.521437,0.032167
acs:OR@0.87,lift,1,0,priv,268,0.0,0.0,0.0
acs:OR@0.87,lift,1,0,unpriv,390,0.0,0.0,0.0
acs:OR@0.87,lift,1,1,priv,336,0.0,0.0,0.0
acs:OR@0.87,lift,1,1,unpriv,322,0.0,0.0,0.0
acs:OR@0.87,lift,1,2,priv,294,0.0,0.0,0.0
acs:OR@0.87,lift,1,2,unpriv,363,0.0,0.00062,0.00062
acs:OR@0.87,lift,1,3,priv,333,0.0,0.001014,0.001014
acs:OR@0.87,lift,1,3,unpriv,325,0.0,0.00277,0.00277
acs:OR@0.87,lift,1,4,priv,319,0.0,0.0,0.0
acs:OR@0.87,lift,1,4,unpriv,338,0.0,0.006991,0.006991
acs:OR@0.87,lift,1,5,priv,327,0.0,0.000688,0.000688
acs:OR@0.87,lift,1,5,unpriv,331,0.0,0.006459,0.006459
acs:OR@0.87,lift,1,6,priv,383,0.0,0.001469,0.001469
acs:OR@0.87,lift,1,6,unpriv,275,0.0,0.005728,0.005728
acs:OR@0.87,lift,1,7,priv,361,0.0,0.002182,0.002182
acs:OR@0.87,lift,1,7,unpriv,296,0.0,0.012544,0.012544
acs:OR@0.87,lift,1,8,priv,385,0.0,0.005845,0.005845
acs:OR@0.87,lift,1,8,unpriv,273,0.0,0.030499,0.030499
acs:OR@0.87,lift,1,9,priv,430,0.562791,0.522147,-0.040644
acs:OR@0.87,lift,1,9,unpriv,227,0.519824,0.537005,0.017181
acs:OR@0.87,lift,2,0,priv,276,0.0,0.0,0.0
acs:OR@0.87,lift,2,0,unpriv,382,0.0,0.0,0.0
acs:OR@0.87,lift,2,1,priv,313,0.0,0.0,0.0
acs:OR@0.87,lift,2,1,unpriv,345,0.0,0.0,0.0
acs:OR@0.87,lift,2,2,priv,307,0.0,0.0,0.0
acs:OR@0.87,lift,2,2,unpriv,350,0.0,0.0,0.0
acs:OR@0.87,lift,2,3,priv,322,0.0,0.001052,0.001052
acs:OR@0.87,lift,2,3,unpriv,336,0.0,0.00605,0.00605
acs:OR@0.87,lift,2,4,priv,341,0.0,0.000994,0.000994
acs:OR@0.87,lift,2,4,unpriv,316,0.0,0.01233,0.01233
acs:OR@0.87,lift,2,5,priv,357,0.0,0.000949,0.000949
acs:OR@0.87,lift,2,5,unpriv,301,0.0,0.005628,0.005628
acs:OR@0.87,lift,2,6,priv,339,0.0,0.000999,0.000999
acs:OR@0.87,lift,2,6,unpriv,319,0.0,0.008496,0.008496
acs:OR@0.87,lift,2,7,priv,365,0.0,0.003713,0.003713
acs:OR@0.87,lift,2,7,unpriv,292,0.0,0.025526,0.025526
acs:OR@0.87,lift,2,8,priv,401,0.0,0.013096,0.013096
acs:OR@0.87,lift,2,8,unpriv,257,0.0,0.04548,0.04548
acs:OR@0.87,lift,2,9,priv,415,0.53012,0.491751,-0.03837
acs:OR@0.87,lift,2,9,unpriv,242,0.38843,0.412929,0.0245
acs:OR@0.87,lift,3,0,priv,296,0.0,0.0,0.0
acs:OR@0.87,lift,3,0,unpriv,362,0.0,0.0,0.0
acs:OR@0.87,lift,3,1,priv,313,0.0,0.0,0.0
