seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8828095238095238,9000,0.8187777777777778,0.022953048368521967,0.013368073452501239,0.9742353098875133,7936,,,,,,,
0,expgrad_dp,0.8828095238095238,9000,0.8177777777777778,0.01730065842885753,0.010926042375385747,0.9806400786856648,7981,0.005652389939664437,-0.4883593536017685,0.2826086956521739,0.26229508196721313,13.0,33.0,0.5670362903225806
0,expgrad_dp_floor,0.8828095238095238,9000,0.8175555555555556,0.018133164176202254,0.010323931853012502,0.9797210096453008,7983,0.004819884192319712,-0.6872524036917466,0.24390243902439024,0.2033898305084746,10.0,31.0,0.5922379032258065
1,baseline,0.8838571428571429,9000,0.8172222222222222,0.02007860191878852,0.019630126654596514,0.9775730477231866,7986,,,,,,,
1,expgrad_dp,0.8838571428571429,9000,0.8155555555555556,0.017309328213481523,0.012583256439080204,0.9807453655041846,8029,0.002769273705306996,-1.3290596697849695,0.22857142857142856,0.21818181818181817,8.0,27.0,0.5384422739794641
1,expgrad_dp_floor,0.8838571428571429,9000,0.816,0.015530370978019903,0.012308903224215406,0.9827277863498649,8037,0.004548230940768616,-0.8496834365852154,0.20512820512820512,0.15,8.0,31.0,0.6386175807663411
2,baseline,0.8837619047619047,9000,0.82,0.02370659714875556,0.03587142595854087,0.9735533465599799,7983,,,,,,,
2,expgrad_dp,0.8837619047619047,9000,0.8191111111111111,0.018334633456987937,0.03025900176531393,0.9796090056886466,8027,0.005371963691767623,-0.513852597602231,0.27906976744186046,0.2413793103448276,12.0,31.0,0.5511712388826255
2,expgrad_dp_floor,0.8837619047619047,9000,0.8193333333333334,0.01879908620470072,0.027327429772769807,0.979096739423707,8027,0.004907510944054838,-0.5999831748969671,0.2857142857142857,0.2413793103448276,12.0,30.0,0.5511712388826255
3,baseline,0.8859523809523809,9000,0.8224444444444444,0.013988181432169955,0.005886062030527328,0.984288594894086,7963,,,,,,,
3,expgrad_dp,0.8859523809523809,9000,0.82,0.007231529281887861,0.018166909508650853,0.9919458638823984,8055,0.006756652150282094,-1.116690089209325,0.18461538461538463,0.1320754716981132,12.0,53.0,1.1553434635187743
3,expgrad_dp_floor,0.8859523809523809,9000,0.821,0.006022197538565477,0.017618203078921257,0.9932900099601056,8056,0.007965983893604478,-0.9009600808489029,0.16176470588235295,0.1308411214953271,11.0,57.0,1.1679015446439784
4,baseline,0.8839047619047619,9000,0.8225555555555556,0.022953048368521967,0.019191367018838945,0.9742353098875133,7936,,,,,,,
4,expgrad_dp,0.8839047619047619,9000,0.8217777777777778,0.014978394690293606,0.00744144562565896,0.9832214807777664,7981,0.00797465367822836,-0.230764252895888,0.25,0.22413793103448276,12.0,36.0,0.5670362903225806
4,expgrad_dp_floor,0.8839047619047619,9000,0.8216666666666667,0.013769062946971333,0.004235520418250038,0.9845697900487024,7982,0.009183985421550633,-0.160302083567474,0.22,0.20689655172413793,11.0,39.0,0.5796370967741935
