state,threshold,positives_base,dp_base,dp_plain,pie_plain,pie_floor,exchange_plain,acc_base,acc_plain,n_test,selection_rate
AL,10000,5947.8,0.03879786788355492,0.023800684499668563,0.07783891074964963,0.14480348784192118,0.892014742014742,0.9028289178266726,0.9016015566531956,6681.0,0.8902559497081276
AL,20000,5076.8,0.0739495422572327,0.017025416346501378,0.8026578427732682,0.8025730859958007,0.7451710011094226,0.8389462655291124,0.8315222272114953,6681.0,0.7598862445741655
AL,30000,3991.8,0.11083636708418183,0.02520231240860804,0.9765151931892889,0.8712848377437543,0.8295150689767613,0.7935339021104625,0.7782367908995659,6681.0,0.597485406376291
AL,50000,1682.0,0.12928163808718632,0.0218212956290463,-2.341217914686358,4.259191250612824,1.1440306359516454,0.7880257446490047,0.7746744499326448,6681.0,0.2517587187546774
AL,70000,662.4,0.09086477207856207,0.01971622300847638,-22.047486593476386,2.057224669886947,2.175610218712804,0.8595719203712019,0.8469989522526568,6681.0,0.09914683430624158
AL,100000,196.8,0.032923432037306785,0.02097444322673406,-29.708116686831556,1.2217047212255776,22.026666666666664,0.9226463104325701,0.9222272114952851,6681.0,0.029456668163448586
OR,10000,5973.2,0.025213290524458143,0.01913801413286072,0.05026434117720728,0.08689603206787984,0.81087133347202,0.9046532846715328,0.9038321167883211,6576.0,0.9083333333333333
OR,20000,5179.8,0.06517965994740994,0.02286985610835292,1.0351098002289372,0.9209153030199794,0.6322530127862356,0.8461070559610706,0.8391727493917275,6576.0,0.7876824817518249
OR,30000,4189.6,0.08527527935757026,0.02126980713761372,1.1789428362205647,1.097699526505086,0.7620969054702644,0.8013381995133819,0.7914537712895378,6576.0,0.6371046228710463
OR,50000,2324.4,0.0965989189028866,0.02415466065562828,-3.1358136409991957,1.351629001836917,1.392520250484122,0.7947384428223845,0.780778588807786,6576.0,0.35346715328467154
OR,70000,1014.0,0.0732798250917646,0.02492483137284848,-7.3031473063883094,4.5145463600427265,1.756631302344055,0.8236922141119221,0.8180352798053528,6576.0,0.1541970802919708
OR,100000,283.2,0.0396339989470796,0.02365874999073126,-23.37315785738341,4.484803133622458,5.7537052062204195,0.8988746958637469,0.8969586374695864,6576.0,0.043065693430656936
