seed,n_removed,removed,n_features,leakage_auc,baseline_accuracy,baseline_dp,expgrad_accuracy,expgrad_dp,expgrad_pie_change,top_feature,top_feature_share,proxy_share
0,0,none removed,11,0.9363926384768276,0.8451389400751824,0.18669779513018375,0.8302498710105403,0.02824267362748603,-20.314735336194563,marital-status,0.30116951064388886,0.5457158178466118
1,0,none removed,11,0.9313574608232253,0.844696690499005,0.19755120794384573,0.8275963735534754,0.01695357393756375,-21.323529411764707,marital-status,0.3254030960648653,0.552569191488879
2,0,none removed,11,0.9343677668783962,0.8497088523623498,0.18498382594200324,0.830765828849414,0.013886900025959908,-21.52387640449438,marital-status,0.28129533776542404,0.5372046015034829
0,1,−relationship,10,0.8715506574408964,0.8446229822363087,0.2028177885265259,0.8043045625414609,0.02689866183798542,-19.24610366074665,marital-status,0.3365990063431935,0.5133604116539845
1,1,−relationship,10,0.8675057931841554,0.8446229822363087,0.20965573455514544,0.7997346502542935,0.014870464635089203,-21.825542878174456,marital-status,0.3422232749309294,0.5152201059028303
2,1,−relationship,10,0.8636841094802463,0.8496351440996536,0.20364054624118277,0.8037148964398909,0.00972937435493354,-23.539823008849556,marital-status,0.33545307192445767,0.5094786436125252
0,2,"−relationship, marital-status",9,0.8079060847119723,0.8145500110562394,0.10437328379566285,0.7970074445345323,0.029295236851739306,-12.553091080698442,capital-gain,0.2331308770661221,0.28832323829749834
1,2,"−relationship, marital-status",9,0.7999278907509708,0.8170560919879118,0.09814079689982733,0.7927323652981499,0.013453120146600009,-13.268765133171913,capital-gain,0.23191124802666369,0.28171145920670554
2,2,"−relationship, marital-status",9,0.8028087562957522,0.8195621729195843,0.10163500961002606,0.7942065305520749,0.006497831893121392,-14.401525989508823,capital-gain,0.2388950617765198,0.28163612730916077
0,3,"−relationship, marital-status, occupation",8,0.6932008774563296,0.8130021375396181,0.10026655358752924,0.7877202034348051,0.023552229004471834,-26.23363544813696,capital-gain,0.26703923117544803,0.1244784457661514
1,3,"−relationship, marital-status, occupation",8,0.6852305715279616,0.8115279722856932,0.08825465253996383,0.7822657919952827,0.020428246121081628,-31.441717791411044,capital-gain,0.2658760767190889,0.1226901554259465
2,3,"−relationship, marital-status, occupation",8,0.6952172047179994,0.8152870936832018,0.09095109662475913,0.7855826638166138,0.010624944678515241,-28.21300563236047,capital-gain,0.27505985240837505,0.11835401124494481
0,4,"−relationship, marital-status, occupation, hours-per-week",7,0.6307066944160308,0.8076214343627921,0.08381191938445509,0.7892680769514262,0.024132426619873748,-24.410312671420733,capital-gain,0.3083083453967199,0.0
1,4,"−relationship, marital-status, occupation, hours-per-week",7,0.6202270158455592,0.8056313112699933,0.07442937080346139,0.7800545441143952,0.013271683012932259,-26.88838782412627,capital-gain,0.3077268855290075,0.0
2,4,"−relationship, marital-status, occupation, hours-per-week",7,0.6242802139264169,0.8106434731333383,0.06992687682300855,0.7896366182649075,0.018378818841783204,-26.318742985409653,capital-gain,0.3161333422521955,0.0
