,baseline,expgrad_dp,expgrad_eo,gridsearch_dp,prejudice_remover [Female],prejudice_remover [Male],adversarial_debiasing
age,0.0681541209356902,0.055628129826236904,0.07138920014588108,0.06290096163948042,0.07006099854360985,0.0676868501617313,0.08676869958841332
capital-gain,0.16233670204720235,0.11545569613945535,0.130791287399226,0.14871557408920352,0.11951103538284191,0.1841284846738052,0.17626436910082194
capital-loss,0.02835666247439126,0.045773344231045045,0.05847316559268843,0.02497678338738042,0.02037627212304786,0.031367550919761844,0.0334356755954954
education-num,0.13484235653668594,0.15442930606876068,0.21311525201345677,0.12219349919437679,0.1281834816291685,0.14104745347658101,0.1618937925192652
hours-per-week,0.05595441613849408,0.04899861274704308,0.06474307683371369,0.04693476415827204,0.051249972943492685,0.055968857714382834,0.05279723929293484
marital-status,0.30435827128266907,0.2350038027402827,0.19700863941040514,0.2757093452792415,0.2783975306526198,0.2606232741248543,0.16762602809441376
native-country,0.01907499147560608,0.00897880695890276,0.01149633682091134,0.019461512147979698,0.0274748319821912,0.02682747828735644,0.01726388293749576
occupation,0.1090941335524512,0.11310360873216782,0.13107261376819573,0.1049837672723594,0.08777783388665394,0.11674557836312556,0.16274473198245723
race,0.0122757529719766,0.0076798722548242606,0.00823952301034106,0.00732033592166786,0.0174894232716641,0.008847901327351,0.0035067830642202397
relationship,0.07528509104573168,0.18888762648230603,0.08240431256839462,0.15788488949011917,0.17890121799290648,0.07142780818967778,0.09770853429202034
workclass,0.030267501539100922,0.02606119381897476,0.03126659243678564,0.028918567419918863,0.02057740159180326,0.03532876276137226,0.039990263532461504
