,baseline,expgrad_dp,expgrad_eo,gridsearch_dp,prejudice_remover [Female],prejudice_remover [Male],adversarial_debiasing
marital-status,0.28129533776542404,0.22365477653109353,0.18340957781915898,0.2681630577510322,0.299712409112157,0.237624330276113,0.17142285328541132
education-num,0.13323977714090815,0.16380636245768446,0.22695699065948244,0.1303761543863154,0.14654470252334573,0.13501304090912403,0.15642029287184872
capital-gain,0.1684958247753195,0.11629730435276182,0.13743490522007606,0.1641931192773714,0.1299685723287535,0.1905853583771009,0.17858537123096327
occupation,0.11006929520412098,0.11915570740543825,0.141469058195364,0.11015350026755365,0.09573463705069932,0.1159385491303236,0.1619845731071011
relationship,0.09001436012019894,0.18959600171524515,0.0822411840088934,0.11850975471883421,0.09235989404523874,0.09718786453053377,0.09742053526857054
age,0.06818080137785217,0.059196775125118915,0.06761392931685566,0.06657508452309546,0.08014907814974155,0.0659575242795697,0.08701338134271003
hours-per-week,0.05582560841373897,0.03804796383865716,0.04547140477050741,0.0511053865813733,0.05798235855081554,0.05375566537569843,0.05164777183140732
capital-loss,0.028566172389328143,0.03910360107345238,0.05047065557263644,0.027370227367305086,0.021838247497940458,0.031225858779304793,0.033490320230550735
workclass,0.030070826748546678,0.033614926287137505,0.036021848345374294,0.030319261526489227,0.029349891283420547,0.03254532972227713,0.03931226337195338
native-country,0.021612441826380727,0.01099545212720777,0.02116468651559143,0.022515082207727584,0.0273828724016264,0.030517365585864754,0.01905889750197014
race,0.012629554238181656,0.006531129086203054,0.007745759576059763,0.01071937139290242,0.018977337056261,0.00964911303408984,0.003643739957513483
