population,n,group_ratio,n_runs,cross_flow,mean_abs_error,max_abs_error,arm,log_ratio
MS,13189,1.0182096403978578,14,0.2680165881921675,0.054366731605048124,0.20520783564261824,SEX,0.018045830520099795
VT,3767,1.0495103373231773,5,0.29238095238095235,0.06337068160597688,0.12142857142857189,SEX,0.04832370999009669
NM,8711,1.0745415575136938,10,0.3978795066413662,0.10353404286615846,0.2867647058823527,SEX,0.07189411249370165
AL,22268,1.0916776253992109,15,0.2727582763883399,0.04412051798051115,0.113999573833369,SEX,0.0877156189023481
OR,21919,1.0947056574923548,15,0.29869400901528737,0.07842845678676524,0.20195056989542115,SEX,0.09048552119061604
WV,8103,1.1223153483499215,13,0.25475765266055306,0.04402944211678294,0.1090909090909098,SEX,0.11539382674618733
WY,3064,1.135191637630662,12,0.32998880358771576,0.0956244997864878,0.21428571428571366,SEX,0.12680148040832373
UT,16337,1.1721845499268715,15,0.2719234396624009,0.06992096892246553,0.16489159376188667,SEX,0.1588691445662927
ND,4455,1.2443324937027709,14,0.31564149830809357,0.0933690904038043,0.24584040747028868,SEX,0.21859923650073218
Adult,45222,2.077373256209595,25,0.04527833891214891,0.013660353303370334,0.0682838089782053,SEX,0.731104238045062
MS,13189,1.9393804323601516,15,0.24269579792134413,0.08231791852676641,0.15695957395303795,RAC1P,0.6623685573046421
NM,8711,2.7242411286874733,12,0.4004627408925816,0.052965257178863766,0.1674856674856674,RAC1P,1.00218990444576
AL,22268,3.19992455677103,15,0.364198866514339,0.03512284658898486,0.07367537028554005,RAC1P,1.1631272335187093
OR,21919,6.35290171083529,14,0.3147229833885703,0.03938811737740534,0.09876543209876665,RAC1P,1.848911670865374
UT,16337,8.52039627039627,14,0.4561499886715694,0.12251046332111368,0.29672836848902256,RAC1P,2.1424628503695304
ND,4455,10.0,13,0.48902957561193205,0.1200472582602859,0.27665317139001533,RAC1P,2.302585092994046
WY,3064,10.432835820895523,7,0.488909470659945,0.1042782436201707,0.2543859649122806,RAC1P,2.3449581228428444
WV,8103,17.25,9,0.49547298443836496,0.11235556335503631,0.4500000000000014,RAC1P,2.847812143477369
VT,3767,24.979310344827585,10,0.48123188579387505,0.12814312248541365,0.5625,RAC1P,3.2180478960227843
